FilterType,m,constTime,targetFpr,iteration
Bloom,8.000000,20.653833,0.001000,0
Bloom,8.000000,21.480208,0.001000,1
Bloom,8.000000,24.595208,0.001000,2
Bloom,8.000000,52.963875,0.001000,3
Bloom,8.000000,28.908875,0.001000,4
Bloom,8.000000,18.213375,0.001000,5
Bloom,8.000000,23.271625,0.001000,6
Bloom,8.000000,42.709500,0.001000,7
Bloom,8.000000,39.985500,0.001000,8
Bloom,8.000000,37.404542,0.001000,9
Bloom,8.000000,23.248417,0.001000,10
Bloom,8.000000,22.394250,0.001000,11
Bloom,8.000000,24.845625,0.001000,12
Bloom,8.000000,17.011084,0.001000,13
Bloom,8.000000,17.335667,0.001000,14
Bloom,9.000000,18.913917,0.001000,0
Bloom,9.000000,18.717834,0.001000,1
Bloom,9.000000,18.882041,0.001000,2
Bloom,9.000000,18.664458,0.001000,3
Bloom,9.000000,18.650292,0.001000,4
Bloom,9.000000,19.291750,0.001000,5
Bloom,9.000000,34.032625,0.001000,6
Bloom,9.000000,26.982458,0.001000,7
Bloom,9.000000,27.005084,0.001000,8
Bloom,9.000000,25.006417,0.001000,9
Bloom,9.000000,23.929750,0.001000,10
Bloom,9.000000,46.762125,0.001000,11
Bloom,9.000000,18.992917,0.001000,12
Bloom,9.000000,18.635666,0.001000,13
Bloom,9.000000,38.083916,0.001000,14
Bloom,10.000000,19.808500,0.001000,0
Bloom,10.000000,20.414833,0.001000,1
Bloom,10.000000,20.047167,0.001000,2
Bloom,10.000000,20.272042,0.001000,3
Bloom,10.000000,20.285125,0.001000,4
Bloom,10.000000,19.807791,0.001000,5
Bloom,10.000000,19.694500,0.001000,6
Bloom,10.000000,19.745792,0.001000,7
Bloom,10.000000,19.887083,0.001000,8
Bloom,10.000000,20.028792,0.001000,9
Bloom,10.000000,19.741917,0.001000,10
Bloom,10.000000,19.697834,0.001000,11
Bloom,10.000000,20.676208,0.001000,12
Bloom,10.000000,19.733333,0.001000,13
Bloom,10.000000,19.688125,0.001000,14
Bloom,11.000000,22.307125,0.001000,0
Bloom,11.000000,21.632167,0.001000,1
Bloom,11.000000,22.042375,0.001000,2
Bloom,11.000000,21.779375,0.001000,3
Bloom,11.000000,21.771334,0.001000,4
Bloom,11.000000,21.669375,0.001000,5
Bloom,11.000000,21.900417,0.001000,6
Bloom,11.000000,21.831208,0.001000,7
Bloom,11.000000,21.886458,0.001000,8
Bloom,11.000000,22.052458,0.001000,9
Bloom,11.000000,21.839084,0.001000,10
Bloom,11.000000,22.484500,0.001000,11
Bloom,11.000000,22.419875,0.001000,12
Bloom,11.000000,22.600375,0.001000,13
Bloom,11.000000,22.749709,0.001000,14
Bloom,12.000000,24.534375,0.001000,0
Bloom,12.000000,23.820875,0.001000,1
Bloom,12.000000,23.550750,0.001000,2
Bloom,12.000000,25.035750,0.001000,3
Bloom,12.000000,28.264083,0.001000,4
Bloom,12.000000,31.853917,0.001000,5
Bloom,12.000000,29.579750,0.001000,6
Bloom,12.000000,26.986041,0.001000,7
Bloom,12.000000,23.597792,0.001000,8
Bloom,12.000000,23.591584,0.001000,9
Bloom,12.000000,24.084916,0.001000,10
Bloom,12.000000,24.000167,0.001000,11
Bloom,12.000000,24.149459,0.001000,12
Bloom,12.000000,23.845292,0.001000,13
Bloom,12.000000,23.685291,0.001000,14
Bloom,5.000000,10.145000,0.010000,0
Bloom,5.000000,10.139334,0.010000,1
Bloom,5.000000,10.038667,0.010000,2
Bloom,5.000000,10.308958,0.010000,3
Bloom,5.000000,10.338667,0.010000,4
Bloom,5.000000,10.157333,0.010000,5
Bloom,5.000000,10.247000,0.010000,6
Bloom,5.000000,10.195209,0.010000,7
Bloom,5.000000,10.287000,0.010000,8
Bloom,5.000000,10.081542,0.010000,9
Bloom,5.000000,10.108917,0.010000,10
Bloom,5.000000,10.120542,0.010000,11
Bloom,5.000000,10.555542,0.010000,12
Bloom,5.000000,10.483333,0.010000,13
Bloom,5.000000,10.666709,0.010000,14
Bloom,6.000000,12.052000,0.010000,0
Bloom,6.000000,12.126125,0.010000,1
Bloom,6.000000,12.140167,0.010000,2
Bloom,6.000000,12.063416,0.010000,3
Bloom,6.000000,12.436250,0.010000,4
Bloom,6.000000,12.067625,0.010000,5
Bloom,6.000000,11.980917,0.010000,6
Bloom,6.000000,11.969125,0.010000,7
Bloom,6.000000,12.054208,0.010000,8
Bloom,6.000000,12.022750,0.010000,9
Bloom,6.000000,12.002833,0.010000,10
Bloom,6.000000,12.316875,0.010000,11
Bloom,6.000000,12.040083,0.010000,12
Bloom,6.000000,12.298709,0.010000,13
Bloom,6.000000,11.976334,0.010000,14
Bloom,7.000000,14.344792,0.010000,0
Bloom,7.000000,13.979208,0.010000,1
Bloom,7.000000,14.065625,0.010000,2
Bloom,7.000000,13.918875,0.010000,3
Bloom,7.000000,14.005417,0.010000,4
Bloom,7.000000,13.774167,0.010000,5
Bloom,7.000000,14.125208,0.010000,6
Bloom,7.000000,13.889708,0.010000,7
Bloom,7.000000,13.804167,0.010000,8
Bloom,7.000000,13.883375,0.010000,9
Bloom,7.000000,14.621042,0.010000,10
Bloom,7.000000,13.993625,0.010000,11
Bloom,7.000000,14.065875,0.010000,12
Bloom,7.000000,13.957625,0.010000,13
Bloom,7.000000,14.009417,0.010000,14
Bloom,8.000000,15.987084,0.010000,0
Bloom,8.000000,15.780667,0.010000,1
Bloom,8.000000,15.819208,0.010000,2
Bloom,8.000000,15.816709,0.010000,3
Bloom,8.000000,15.893417,0.010000,4
Bloom,8.000000,16.134375,0.010000,5
Bloom,8.000000,15.814625,0.010000,6
Bloom,8.000000,15.734042,0.010000,7
Bloom,8.000000,15.957541,0.010000,8
Bloom,8.000000,15.821875,0.010000,9
Bloom,8.000000,16.049333,0.010000,10
Bloom,8.000000,15.709208,0.010000,11
Bloom,8.000000,15.674500,0.010000,12
