FilterType,m,fpr,targetFpr,iteration
Bloom,8.000000,0.001148,0.001000,-1
Bloom,9.000000,0.001056,0.001000,-1
Bloom,10.000000,0.001034,0.001000,-1
Bloom,11.000000,0.000988,0.001000,-1
Bloom,12.000000,0.001024,0.001000,-1
Bloom,6.000000,0.005618,0.005000,-1
Bloom,7.000000,0.004944,0.005000,-1
Bloom,8.000000,0.004956,0.005000,-1
Bloom,9.000000,0.005210,0.005000,-1
Bloom,10.000000,0.005520,0.005000,-1
Bloom,5.000000,0.011326,0.010000,-1
Bloom,6.000000,0.010398,0.010000,-1
Bloom,7.000000,0.009878,0.010000,-1
Bloom,8.000000,0.010536,0.010000,-1
Bloom,9.000000,0.011318,0.010000,-1
Bloom,2.000000,0.075618,0.050000,-1
Bloom,3.000000,0.055278,0.050000,-1
Bloom,4.000000,0.050346,0.050000,-1
Bloom,5.000000,0.050944,0.050000,-1
Bloom,6.000000,0.055112,0.050000,-1
Bloom,1.000000,0.187858,0.100000,-1
Bloom,2.000000,0.116232,0.100000,-1
Bloom,3.000000,0.101156,0.100000,-1
Bloom,4.000000,0.102844,0.100000,-1
Bloom,5.000000,0.114100,0.100000,-1
Bloom,-1.000000,1.000000,0.500000,-1
Bloom,0.000000,1.000000,0.500000,-1
Bloom,1.000000,0.498816,0.500000,-1
Bloom,2.000000,0.562904,0.500000,-1
Bloom,3.000000,0.670258,0.500000,-1
