FilterType,n,constTime,fpr,iteration
Bloom,10000.000000,30.254200,0.010000,1
Cuckoo,10000.000000,478.125000,0.010000,1
Blocked Bloom,10000.000000,151.504200,0.010000,1
Bloom,10000.000000,44.616700,0.010000,2
Cuckoo,10000.000000,1148.862500,0.010000,2
Blocked Bloom,10000.000000,100.712500,0.010000,2
Bloom,10000.000000,40.195800,0.010000,3
Cuckoo,10000.000000,531.762500,0.010000,3
Blocked Bloom,10000.000000,41.191600,0.010000,3
Bloom,10000.000000,31.345800,0.010000,4
Cuckoo,10000.000000,488.783400,0.010000,4
Blocked Bloom,10000.000000,42.612500,0.010000,4
Bloom,10000.000000,31.000000,0.010000,5
Cuckoo,10000.000000,468.695900,0.010000,5
Blocked Bloom,10000.000000,46.362500,0.010000,5
Bloom,100000.000000,31.158330,0.010000,1
Cuckoo,100000.000000,475.882920,0.010000,1
Blocked Bloom,100000.000000,43.631250,0.010000,1
Bloom,100000.000000,32.152920,0.010000,2
Cuckoo,100000.000000,510.807920,0.010000,2
Blocked Bloom,100000.000000,45.962090,0.010000,2
Bloom,100000.000000,31.649170,0.010000,3
Cuckoo,100000.000000,531.154580,0.010000,3
Blocked Bloom,100000.000000,41.218750,0.010000,3
Bloom,100000.000000,31.112920,0.010000,4
Cuckoo,100000.000000,621.581250,0.010000,4
Blocked Bloom,100000.000000,47.842920,0.010000,4
Bloom,100000.000000,63.692500,0.010000,5
Cuckoo,100000.000000,592.419590,0.010000,5
Blocked Bloom,100000.000000,45.371660,0.010000,5
Bloom,1000000.000000,34.121250,0.010000,1
Cuckoo,1000000.000000,508.554750,0.010000,1
Blocked Bloom,1000000.000000,40.783500,0.010000,1
Bloom,1000000.000000,31.587208,0.010000,2
Cuckoo,1000000.000000,498.328541,0.010000,2
Blocked Bloom,1000000.000000,40.707875,0.010000,2
Bloom,1000000.000000,32.374791,0.010000,3
Cuckoo,1000000.000000,478.796875,0.010000,3
Blocked Bloom,1000000.000000,40.994916,0.010000,3
Bloom,1000000.000000,33.060708,0.010000,4
Cuckoo,1000000.000000,486.209208,0.010000,4
Blocked Bloom,1000000.000000,41.524375,0.010000,4
Bloom,1000000.000000,31.347792,0.010000,5
Cuckoo,1000000.000000,482.381916,0.010000,5
Blocked Bloom,1000000.000000,41.168416,0.010000,5
Bloom,10000000.000000,39.267808,0.010000,1
Cuckoo,10000000.000000,552.791008,0.010000,1
Blocked Bloom,10000000.000000,79.414708,0.010000,1
Bloom,10000000.000000,37.714846,0.010000,2
Cuckoo,10000000.000000,550.816071,0.010000,2
Blocked Bloom,10000000.000000,85.925192,0.010000,2
Bloom,10000000.000000,41.557004,0.010000,3
Cuckoo,10000000.000000,545.315742,0.010000,3
Blocked Bloom,10000000.000000,85.157062,0.010000,3
Bloom,10000000.000000,44.816383,0.010000,4
Cuckoo,10000000.000000,548.198150,0.010000,4
Blocked Bloom,10000000.000000,81.531446,0.010000,4
Bloom,10000000.000000,41.624417,0.010000,5
Cuckoo,10000000.000000,543.036088,0.010000,5
Blocked Bloom,10000000.000000,79.548983,0.010000,5
