FilterType,b,alpha,targetFpr,iteration
Cuckoo,1.000000,0.220391,0.010000,0
Cuckoo,1.000000,0.185030,0.010000,1
Cuckoo,1.000000,0.194927,0.010000,2
Cuckoo,1.000000,0.178758,0.010000,3
Cuckoo,1.000000,0.193971,0.010000,4
Cuckoo,1.000000,0.244438,0.010000,5
Cuckoo,1.000000,0.206051,0.010000,6
Cuckoo,1.000000,0.155465,0.010000,7
Cuckoo,1.000000,0.060169,0.010000,8
Cuckoo,1.000000,0.162038,0.010000,9
Cuckoo,1.000000,0.153896,0.010000,10
Cuckoo,1.000000,0.161543,0.010000,11
Cuckoo,1.000000,0.195630,0.010000,12
Cuckoo,1.000000,0.204708,0.010000,13
Cuckoo,1.000000,0.216255,0.010000,14
Cuckoo,2.000000,0.390101,0.010000,0
Cuckoo,2.000000,0.390192,0.010000,1
Cuckoo,2.000000,0.369802,0.010000,2
Cuckoo,2.000000,0.334330,0.010000,3
Cuckoo,2.000000,0.363364,0.010000,4
Cuckoo,2.000000,0.378355,0.010000,5
Cuckoo,2.000000,0.275165,0.010000,6
Cuckoo,2.000000,0.367358,0.010000,7
Cuckoo,2.000000,0.403933,0.010000,8
Cuckoo,2.000000,0.405460,0.010000,9
Cuckoo,2.000000,0.356238,0.010000,10
Cuckoo,2.000000,0.403815,0.010000,11
Cuckoo,2.000000,0.378630,0.010000,12
Cuckoo,2.000000,0.363342,0.010000,13
Cuckoo,2.000000,0.311917,0.010000,14
Cuckoo,4.000000,0.546405,0.010000,0
Cuckoo,4.000000,0.552589,0.010000,1
Cuckoo,4.000000,0.524255,0.010000,2
Cuckoo,4.000000,0.589668,0.010000,3
Cuckoo,4.000000,0.535450,0.010000,4
Cuckoo,4.000000,0.573765,0.010000,5
Cuckoo,4.000000,0.523409,0.010000,6
Cuckoo,4.000000,0.552427,0.010000,7
Cuckoo,4.000000,0.550517,0.010000,8
Cuckoo,4.000000,0.571192,0.010000,9
Cuckoo,4.000000,0.504026,0.010000,10
Cuckoo,4.000000,0.573311,0.010000,11
Cuckoo,4.000000,0.542163,0.010000,12
Cuckoo,4.000000,0.571612,0.010000,13
Cuckoo,4.000000,0.548719,0.010000,14
Cuckoo,8.000000,0.612876,0.010000,0
Cuckoo,8.000000,0.615523,0.010000,1
Cuckoo,8.000000,0.706943,0.010000,2
Cuckoo,8.000000,0.671197,0.010000,3
Cuckoo,8.000000,0.683889,0.010000,4
Cuckoo,8.000000,0.673467,0.010000,5
Cuckoo,8.000000,0.700052,0.010000,6
Cuckoo,8.000000,0.680278,0.010000,7
Cuckoo,8.000000,0.668742,0.010000,8
Cuckoo,8.000000,0.692460,0.010000,9
Cuckoo,8.000000,0.736816,0.010000,10
Cuckoo,8.000000,0.710561,0.010000,11
Cuckoo,8.000000,0.663441,0.010000,12
Cuckoo,8.000000,0.689175,0.010000,13
Cuckoo,8.000000,0.639970,0.010000,14
