FilterType,b,alpha,n,iteration
Cuckoo,1.000000,0.380800,10000.000000,0
Cuckoo,1.000000,0.367100,10000.000000,1
Cuckoo,1.000000,0.340500,10000.000000,2
Cuckoo,1.000000,0.305000,10000.000000,3
Cuckoo,1.000000,0.306900,10000.000000,4
Cuckoo,1.000000,0.457100,10000.000000,5
Cuckoo,1.000000,0.303200,10000.000000,6
Cuckoo,1.000000,0.390100,10000.000000,7
Cuckoo,1.000000,0.317200,10000.000000,8
Cuckoo,1.000000,0.390800,10000.000000,9
Cuckoo,1.000000,0.391700,10000.000000,10
Cuckoo,1.000000,0.397500,10000.000000,11
Cuckoo,1.000000,0.330500,10000.000000,12
Cuckoo,1.000000,0.287900,10000.000000,13
Cuckoo,1.000000,0.267500,10000.000000,14
Cuckoo,2.000000,1.000000,10000.000000,0
Cuckoo,2.000000,1.000000,10000.000000,1
Cuckoo,2.000000,1.000000,10000.000000,2
Cuckoo,2.000000,1.000000,10000.000000,3
Cuckoo,2.000000,1.000000,10000.000000,4
Cuckoo,2.000000,1.000000,10000.000000,5
Cuckoo,2.000000,1.000000,10000.000000,6
Cuckoo,2.000000,1.000000,10000.000000,7
Cuckoo,2.000000,1.000000,10000.000000,8
Cuckoo,2.000000,1.000000,10000.000000,9
Cuckoo,2.000000,1.000000,10000.000000,10
Cuckoo,2.000000,1.000000,10000.000000,11
Cuckoo,2.000000,1.000000,10000.000000,12
Cuckoo,2.000000,1.000000,10000.000000,13
Cuckoo,2.000000,1.000000,10000.000000,14
Cuckoo,4.000000,1.000000,10000.000000,0
Cuckoo,4.000000,1.000000,10000.000000,1
Cuckoo,4.000000,1.000000,10000.000000,2
Cuckoo,4.000000,1.000000,10000.000000,3
Cuckoo,4.000000,1.000000,10000.000000,4
Cuckoo,4.000000,1.000000,10000.000000,5
Cuckoo,4.000000,1.000000,10000.000000,6
Cuckoo,4.000000,1.000000,10000.000000,7
Cuckoo,4.000000,1.000000,10000.000000,8
Cuckoo,4.000000,1.000000,10000.000000,9
Cuckoo,4.000000,1.000000,10000.000000,10
Cuckoo,4.000000,1.000000,10000.000000,11
Cuckoo,4.000000,1.000000,10000.000000,12
Cuckoo,4.000000,1.000000,10000.000000,13
Cuckoo,4.000000,1.000000,10000.000000,14
Cuckoo,8.000000,1.000000,10000.000000,0
Cuckoo,8.000000,1.000000,10000.000000,1
Cuckoo,8.000000,1.000000,10000.000000,2
Cuckoo,8.000000,1.000000,10000.000000,3
Cuckoo,8.000000,1.000000,10000.000000,4
Cuckoo,8.000000,1.000000,10000.000000,5
Cuckoo,8.000000,1.000000,10000.000000,6
Cuckoo,8.000000,1.000000,10000.000000,7
Cuckoo,8.000000,1.000000,10000.000000,8
Cuckoo,8.000000,1.000000,10000.000000,9
Cuckoo,8.000000,1.000000,10000.000000,10
Cuckoo,8.000000,1.000000,10000.000000,11
Cuckoo,8.000000,1.000000,10000.000000,12
Cuckoo,8.000000,1.000000,10000.000000,13
Cuckoo,8.000000,1.000000,10000.000000,14
