FilterType,n,fpr,targetFpr,b
Bloom,10000.000000,0.006600,0.010000,1
Bloom,10000.000000,0.007900,0.010000,1
Bloom,10000.000000,0.007900,0.010000,1
Bloom,10000.000000,0.006200,0.010000,1
Bloom,10000.000000,0.006500,0.010000,1
Bloom,10000.000000,0.007700,0.010000,1
Bloom,10000.000000,0.006700,0.010000,1
Bloom,10000.000000,0.006900,0.010000,1
Bloom,10000.000000,0.007200,0.010000,1
Bloom,10000.000000,0.007200,0.010000,1
Bloom,10000.000000,0.007600,0.010000,2
Bloom,10000.000000,0.007600,0.010000,2
Bloom,10000.000000,0.007700,0.010000,2
Bloom,10000.000000,0.005800,0.010000,2
Bloom,10000.000000,0.007400,0.010000,2
Bloom,10000.000000,0.007500,0.010000,2
Bloom,10000.000000,0.007100,0.010000,2
Bloom,10000.000000,0.008100,0.010000,2
Bloom,10000.000000,0.008500,0.010000,2
Bloom,10000.000000,0.008100,0.010000,2
Bloom,10000.000000,0.007600,0.010000,4
Bloom,10000.000000,0.008500,0.010000,4
Bloom,10000.000000,0.007500,0.010000,4
Bloom,10000.000000,0.007700,0.010000,4
Bloom,10000.000000,0.007000,0.010000,4
Bloom,10000.000000,0.008700,0.010000,4
Bloom,10000.000000,0.007300,0.010000,4
Bloom,10000.000000,0.007500,0.010000,4
Bloom,10000.000000,0.007000,0.010000,4
Bloom,10000.000000,0.006800,0.010000,4
Bloom,10000.000000,0.009300,0.010000,8
Bloom,10000.000000,0.007700,0.010000,8
Bloom,10000.000000,0.007800,0.010000,8
Bloom,10000.000000,0.007500,0.010000,8
Bloom,10000.000000,0.007200,0.010000,8
Bloom,10000.000000,0.007400,0.010000,8
Bloom,10000.000000,0.006100,0.010000,8
Bloom,10000.000000,0.007300,0.010000,8
Bloom,10000.000000,0.006900,0.010000,8
Bloom,10000.000000,0.007600,0.010000,8
Bloom,50000.000000,0.007660,0.010000,1
Bloom,50000.000000,0.007040,0.010000,1
Bloom,50000.000000,0.007480,0.010000,1
Bloom,50000.000000,0.007200,0.010000,1
Bloom,50000.000000,0.008200,0.010000,1
Bloom,50000.000000,0.007640,0.010000,1
Bloom,50000.000000,0.008200,0.010000,1
Bloom,50000.000000,0.007640,0.010000,1
Bloom,50000.000000,0.007460,0.010000,1
Bloom,50000.000000,0.008000,0.010000,1
Bloom,50000.000000,0.007880,0.010000,2
Bloom,50000.000000,0.007960,0.010000,2
Bloom,50000.000000,0.007480,0.010000,2
Bloom,50000.000000,0.007860,0.010000,2
Bloom,50000.000000,0.008020,0.010000,2
Bloom,50000.000000,0.007520,0.010000,2
Bloom,50000.000000,0.007300,0.010000,2
Bloom,50000.000000,0.007280,0.010000,2
Bloom,50000.000000,0.007220,0.010000,2
Bloom,50000.000000,0.007980,0.010000,2
