FilterType,lf,queryTime,n,iteration
Xor,0.000000,9.345900,1000000.000000,1
Xor,0.000000,7.058300,1000000.000000,2
Xor,0.000000,7.058300,1000000.000000,3
Xor,0.000000,6.929200,1000000.000000,4
Xor,0.000000,7.150000,1000000.000000,5
Xor,0.000000,6.700000,1000000.000000,6
Xor,0.000000,6.679100,1000000.000000,7
Xor,0.000000,6.725000,1000000.000000,8
Xor,0.000000,6.891700,1000000.000000,9
Xor,0.000000,6.954200,1000000.000000,10
Xor,0.250000,6.716600,1000000.000000,1
Xor,0.250000,6.712500,1000000.000000,2
Xor,0.250000,6.783300,1000000.000000,3
Xor,0.250000,8.112500,1000000.000000,4
Xor,0.250000,6.716700,1000000.000000,5
Xor,0.250000,7.612500,1000000.000000,6
Xor,0.250000,6.829200,1000000.000000,7
Xor,0.250000,7.154200,1000000.000000,8
Xor,0.250000,6.716700,1000000.000000,9
Xor,0.250000,7.008300,1000000.000000,10
Xor,0.500000,7.087500,1000000.000000,1
Xor,0.500000,6.679100,1000000.000000,2
Xor,0.500000,7.004200,1000000.000000,3
Xor,0.500000,6.945900,1000000.000000,4
Xor,0.500000,6.954200,1000000.000000,5
Xor,0.500000,6.966700,1000000.000000,6
Xor,0.500000,6.945800,1000000.000000,7
Xor,0.500000,6.695800,1000000.000000,8
Xor,0.500000,6.733400,1000000.000000,9
Xor,0.500000,7.070800,1000000.000000,10
Xor,0.750000,6.929200,1000000.000000,1
Xor,0.750000,6.520800,1000000.000000,2
Xor,0.750000,6.533400,1000000.000000,3
Xor,0.750000,6.508300,1000000.000000,4
Xor,0.750000,6.500000,1000000.000000,5
Xor,0.750000,6.512500,1000000.000000,6
Xor,0.750000,6.675000,1000000.000000,7
Xor,0.750000,6.512500,1000000.000000,8
Xor,0.750000,6.537500,1000000.000000,9
Xor,0.750000,6.491700,1000000.000000,10
Xor,1.000000,6.483300,1000000.000000,1
Xor,1.000000,7.787500,1000000.000000,2
Xor,1.000000,6.754200,1000000.000000,3
Xor,1.000000,8.854200,1000000.000000,4
Xor,1.000000,13.066600,1000000.000000,5
Xor,1.000000,7.004200,1000000.000000,6
Xor,1.000000,8.908300,1000000.000000,7
Xor,1.000000,6.691700,1000000.000000,8
Xor,1.000000,6.658400,1000000.000000,9
Xor,1.000000,6.916600,1000000.000000,10
