FilterType,lf,queryTime,n,iteration
Bloom,0.000000,35.830000,1000000.000000,1
Cuckoo,0.000000,329.580000,1000000.000000,1
Blocked Bloom,0.000000,93.330000,1000000.000000,1
Xor,0.000000,59.590000,1000000.000000,1
Bloom,0.000000,32.920000,1000000.000000,2
Cuckoo,0.000000,299.160000,1000000.000000,2
Blocked Bloom,0.000000,23.750000,1000000.000000,2
Xor,0.000000,58.750000,1000000.000000,2
Bloom,0.000000,31.250000,1000000.000000,3
Cuckoo,0.000000,335.000000,1000000.000000,3
Blocked Bloom,0.000000,23.340000,1000000.000000,3
Xor,0.000000,53.340000,1000000.000000,3
Bloom,0.000000,28.750000,1000000.000000,4
Cuckoo,0.000000,273.750000,1000000.000000,4
Blocked Bloom,0.000000,21.670000,1000000.000000,4
Xor,0.000000,50.420000,1000000.000000,4
Bloom,0.000000,30.410000,1000000.000000,5
Cuckoo,0.000000,309.170000,1000000.000000,5
Blocked Bloom,0.000000,27.920000,1000000.000000,5
Xor,0.000000,62.080000,1000000.000000,5
Bloom,0.000000,34.580000,1000000.000000,6
Cuckoo,0.000000,292.500000,1000000.000000,6
Blocked Bloom,0.000000,25.000000,1000000.000000,6
Xor,0.000000,55.000000,1000000.000000,6
Bloom,0.000000,31.670000,1000000.000000,7
Cuckoo,0.000000,310.000000,1000000.000000,7
Blocked Bloom,0.000000,31.660000,1000000.000000,7
Xor,0.000000,55.000000,1000000.000000,7
Bloom,0.000000,34.170000,1000000.000000,8
Cuckoo,0.000000,289.590000,1000000.000000,8
Blocked Bloom,0.000000,27.920000,1000000.000000,8
Xor,0.000000,50.410000,1000000.000000,8
Bloom,0.000000,31.250000,1000000.000000,9
Cuckoo,0.000000,275.420000,1000000.000000,9
Blocked Bloom,0.000000,24.580000,1000000.000000,9
Xor,0.000000,50.420000,1000000.000000,9
Bloom,0.000000,33.330000,1000000.000000,10
Cuckoo,0.000000,289.170000,1000000.000000,10
Blocked Bloom,0.000000,25.410000,1000000.000000,10
Xor,0.000000,50.000000,1000000.000000,10
Bloom,0.250000,55.000000,1000000.000000,1
Cuckoo,0.250000,296.670000,1000000.000000,1
Blocked Bloom,0.250000,27.500000,1000000.000000,1
Xor,0.250000,21.250000,1000000.000000,1
Bloom,0.250000,54.590000,1000000.000000,2
Cuckoo,0.250000,262.500000,1000000.000000,2
Blocked Bloom,0.250000,22.920000,1000000.000000,2
Xor,0.250000,12.080000,1000000.000000,2
Bloom,0.250000,68.750000,1000000.000000,3
Cuckoo,0.250000,343.750000,1000000.000000,3
Blocked Bloom,0.250000,22.920000,1000000.000000,3
Xor,0.250000,10.830000,1000000.000000,3
Bloom,0.250000,1541.250000,1000000.000000,4
Cuckoo,0.250000,1690.420000,1000000.000000,4
Blocked Bloom,0.250000,300.840000,1000000.000000,4
Xor,0.250000,22.080000,1000000.000000,4
Bloom,0.250000,44.160000,1000000.000000,5
Cuckoo,0.250000,395.000000,1000000.000000,5
Blocked Bloom,0.250000,19.580000,1000000.000000,5
Xor,0.250000,13.750000,1000000.000000,5
Bloom,0.250000,171.250000,1000000.000000,6
Cuckoo,0.250000,259.170000,1000000.000000,6
Blocked Bloom,0.250000,87.500000,1000000.000000,6
Xor,0.250000,10.830000,1000000.000000,6
Bloom,0.250000,62.920000,1000000.000000,7
Cuckoo,0.250000,322.500000,1000000.000000,7
Blocked Bloom,0.250000,24.580000,1000000.000000,7
Xor,0.250000,14.580000,1000000.000000,7
Bloom,0.250000,47.500000,1000000.000000,8
Cuckoo,0.250000,275.000000,1000000.000000,8
Blocked Bloom,0.250000,20.420000,1000000.000000,8
Xor,0.250000,10.410000,1000000.000000,8
Bloom,0.250000,50.410000,1000000.000000,9
Cuckoo,0.250000,282.500000,1000000.000000,9
Blocked Bloom,0.250000,29.170000,1000000.000000,9
Xor,0.250000,16.250000,1000000.000000,9
Bloom,0.250000,51.670000,1000000.000000,10
Cuckoo,0.250000,272.500000,1000000.000000,10
Blocked Bloom,0.250000,24.580000,1000000.000000,10
Xor,0.250000,11.660000,1000000.000000,10
Bloom,0.500000,62.920000,1000000.000000,1
Cuckoo,0.500000,258.750000,1000000.000000,1
Blocked Bloom,0.500000,20.420000,1000000.000000,1
Xor,0.500000,11.250000,1000000.000000,1
Bloom,0.500000,74.170000,1000000.000000,2
Cuckoo,0.500000,274.580000,1000000.000000,2
Blocked Bloom,0.500000,22.910000,1000000.000000,2
Xor,0.500000,9.580000,1000000.000000,2
Bloom,0.500000,468.750000,1000000.000000,3
Cuckoo,0.500000,443.330000,1000000.000000,3
Blocked Bloom,0.500000,95.000000,1000000.000000,3
Xor,0.500000,9.590000,1000000.000000,3
Bloom,0.500000,555.000000,1000000.000000,4
Cuckoo,0.500000,2988.750000,1000000.000000,4
Blocked Bloom,0.500000,27.080000,1000000.000000,4
Xor,0.500000,17.500000,1000000.000000,4
Bloom,0.500000,67.080000,1000000.000000,5
Cuckoo,0.500000,367.080000,1000000.000000,5
Blocked Bloom,0.500000,95.830000,1000000.000000,5
Xor,0.500000,12.920000,1000000.000000,5
Bloom,0.500000,73.750000,1000000.000000,6
Cuckoo,0.500000,288.330000,1000000.000000,6
Blocked Bloom,0.500000,22.500000,1000000.000000,6
Xor,0.500000,10.000000,1000000.000000,6
Bloom,0.500000,65.000000,1000000.000000,7
Cuckoo,0.500000,439.580000,1000000.000000,7
Blocked Bloom,0.500000,20.000000,1000000.000000,7
Xor,0.500000,10.000000,1000000.000000,7
Bloom,0.500000,433.330000,1000000.000000,8
Cuckoo,0.500000,542.500000,1000000.000000,8
Blocked Bloom,0.500000,122.080000,1000000.000000,8
Xor,0.500000,14.170000,1000000.000000,8
Bloom,0.500000,1034.580000,1000000.000000,9
Cuckoo,0.500000,3795.420000,1000000.000000,9
Blocked Bloom,0.500000,99.160000,1000000.000000,9
Xor,0.500000,29.580000,1000000.000000,9
Bloom,0.500000,66.660000,1000000.000000,10
Cuckoo,0.500000,614.170000,1000000.000000,10
Blocked Bloom,0.500000,21.670000,1000000.000000,10
Xor,0.500000,10.840000,1000000.000000,10
Bloom,0.750000,2445.830000,1000000.000000,1
Cuckoo,0.750000,4592.080000,1000000.000000,1
Blocked Bloom,0.750000,322.500000,1000000.000000,1
Xor,0.750000,19.580000,1000000.000000,1
Bloom,0.750000,1885.000000,1000000.000000,2
Cuckoo,0.750000,4740.830000,1000000.000000,2
Blocked Bloom,0.750000,211.250000,1000000.000000,2
Xor,0.750000,16.250000,1000000.000000,2
Bloom,0.750000,2251.670000,1000000.000000,3
Cuckoo,0.750000,4820.830000,1000000.000000,3
Blocked Bloom,0.750000,294.590000,1000000.000000,3
Xor,0.750000,11.250000,1000000.000000,3
Bloom,0.750000,77.910000,1000000.000000,4
Cuckoo,0.750000,486.250000,1000000.000000,4
Blocked Bloom,0.750000,252.500000,1000000.000000,4
Xor,0.750000,11.670000,1000000.000000,4
Bloom,0.750000,2056.660000,1000000.000000,5
Cuckoo,0.750000,4900.000000,1000000.000000,5
Blocked Bloom,0.750000,97.500000,1000000.000000,5
Xor,0.750000,22.500000,1000000.000000,5
Bloom,0.750000,131.250000,1000000.000000,6
Cuckoo,0.750000,897.910000,1000000.000000,6
Blocked Bloom,0.750000,25.420000,1000000.000000,6
Xor,0.750000,10.000000,1000000.000000,6
Bloom,0.750000,1712.080000,1000000.000000,7
Cuckoo,0.750000,3590.000000,1000000.000000,7
Blocked Bloom,0.750000,231.660000,1000000.000000,7
Xor,0.750000,17.910000,1000000.000000,7
Bloom,0.750000,1725.830000,1000000.000000,8
Cuckoo,0.750000,4559.580000,1000000.000000,8
Blocked Bloom,0.750000,384.580000,1000000.000000,8
Xor,0.750000,14.170000,1000000.000000,8
Bloom,0.750000,596.660000,1000000.000000,9
Cuckoo,0.750000,1250.000000,1000000.000000,9
Blocked Bloom,0.750000,25.830000,1000000.000000,9
Xor,0.750000,11.670000,1000000.000000,9
Bloom,0.750000,65.830000,1000000.000000,10
Cuckoo,0.750000,1958.750000,1000000.000000,10
Blocked Bloom,0.750000,20.840000,1000000.000000,10
Xor,0.750000,10.000000,1000000.000000,10
Bloom,1.000000,80.830000,1000000.000000,1
Cuckoo,1.000000,402.920000,1000000.000000,1
Blocked Bloom,1.000000,21.660000,1000000.000000,1
Xor,1.000000,9.580000,1000000.000000,1
Bloom,1.000000,2040.420000,1000000.000000,2
Cuckoo,1.000000,3973.750000,1000000.000000,2
Blocked Bloom,1.000000,193.750000,1000000.000000,2
Xor,1.000000,15.000000,1000000.000000,2
Bloom,1.000000,5064.170000,1000000.000000,3
Cuckoo,1.000000,7246.250000,1000000.000000,3
Blocked Bloom,1.000000,251.250000,1000000.000000,3
Xor,1.000000,14.170000,1000000.000000,3
Bloom,1.000000,74.580000,1000000.000000,4
Cuckoo,1.000000,450.830000,1000000.000000,4
Blocked Bloom,1.000000,21.670000,1000000.000000,4
Xor,1.000000,9.590000,1000000.000000,4
Bloom,1.000000,549.160000,1000000.000000,5
Cuckoo,1.000000,344.580000,1000000.000000,5
Blocked Bloom,1.000000,87.920000,1000000.000000,5
Xor,1.000000,10.000000,1000000.000000,5
Bloom,1.000000,1977.920000,1000000.000000,6
Cuckoo,1.000000,3885.000000,1000000.000000,6
Blocked Bloom,1.000000,255.410000,1000000.000000,6
Xor,1.000000,11.670000,1000000.000000,6
Bloom,1.000000,2608.330000,1000000.000000,7
Cuckoo,1.000000,1818.750000,1000000.000000,7
Blocked Bloom,1.000000,94.580000,1000000.000000,7
Xor,1.000000,10.000000,1000000.000000,7
Bloom,1.000000,77.500000,1000000.000000,8
Cuckoo,1.000000,273.330000,1000000.000000,8
Blocked Bloom,1.000000,26.250000,1000000.000000,8
Xor,1.000000,10.420000,1000000.000000,8
Bloom,1.000000,70.830000,1000000.000000,9
Cuckoo,1.000000,275.830000,1000000.000000,9
Blocked Bloom,1.000000,22.080000,1000000.000000,9
Xor,1.000000,9.590000,1000000.000000,9
Bloom,1.000000,6613.750000,1000000.000000,10
Cuckoo,1.000000,5603.330000,1000000.000000,10
Blocked Bloom,1.000000,167.500000,1000000.000000,10
Xor,1.000000,15.840000,1000000.000000,10
