FilterType,lf,queryTime,n,iteration
Bloom,0.000000,1038.750000,1000000.000000,1
Cuckoo,0.000000,1458.340000,1000000.000000,1
Blocked Bloom,0.000000,256.660000,1000000.000000,1
Xor,0.000000,386.250000,1000000.000000,1
Xor fixed,0.000000,0.013209,1000000.000000,1
Bloom,0.250000,1920.840000,1000000.000000,1
Cuckoo,0.250000,1992.500000,1000000.000000,1
Blocked Bloom,0.250000,452.500000,1000000.000000,1
Xor,0.250000,106.660000,1000000.000000,1
Xor fixed,0.250000,0.004792,1000000.000000,1
Bloom,0.500000,133.750000,1000000.000000,1
Cuckoo,0.500000,1316.660000,1000000.000000,1
Blocked Bloom,0.500000,101.660000,1000000.000000,1
Xor,0.500000,162.910000,1000000.000000,1
Xor fixed,0.500000,0.003375,1000000.000000,1
Bloom,0.750000,996.250000,1000000.000000,1
Cuckoo,0.750000,1067.500000,1000000.000000,1
Blocked Bloom,0.750000,147.910000,1000000.000000,1
Xor,0.750000,112.910000,1000000.000000,1
Xor fixed,0.750000,0.003375,1000000.000000,1
Bloom,1.000000,5381.660000,1000000.000000,1
Cuckoo,1.000000,18105.000000,1000000.000000,1
Blocked Bloom,1.000000,325.420000,1000000.000000,1
Xor,1.000000,351.250000,1000000.000000,1
Xor fixed,1.000000,0.013542,1000000.000000,1
