FilterType,lf,queryTime,n,iteration
Bloom,0.000000,1524.170000,1000000.000000,1
Cuckoo,0.000000,2540.000000,1000000.000000,1
Blocked Bloom,0.000000,136.660000,1000000.000000,1
Xor,0.000000,151.250000,1000000.000000,1
Xor fixed,0.000000,0.014041,1000000.000000,1
Bloom,0.250000,145.410000,1000000.000000,1
Cuckoo,0.250000,318.340000,1000000.000000,1
Blocked Bloom,0.250000,119.170000,1000000.000000,1
Xor,0.250000,135.410000,1000000.000000,1
Xor fixed,0.250000,0.005375,1000000.000000,1
Bloom,0.500000,2075.840000,1000000.000000,1
Cuckoo,0.500000,2355.830000,1000000.000000,1
Blocked Bloom,0.500000,116.250000,1000000.000000,1
Xor,0.500000,113.750000,1000000.000000,1
Xor fixed,0.500000,0.004916,1000000.000000,1
Bloom,0.750000,45344.170000,1000000.000000,1
Cuckoo,0.750000,12555.830000,1000000.000000,1
Blocked Bloom,0.750000,786.250000,1000000.000000,1
Xor,0.750000,1009.580000,1000000.000000,1
Xor fixed,0.750000,0.005250,1000000.000000,1
Bloom,1.000000,2253.750000,1000000.000000,1
Cuckoo,1.000000,2317.920000,1000000.000000,1
Blocked Bloom,1.000000,286.660000,1000000.000000,1
Xor,1.000000,282.920000,1000000.000000,1
Xor fixed,1.000000,0.005500,1000000.000000,1
