FilterType,m,constTime,targetFpr,iteration
Bloom,8.000000,18.500167,0.001000,0
Bloom,8.000000,17.449125,0.001000,1
Bloom,8.000000,17.765625,0.001000,2
Bloom,8.000000,17.424209,0.001000,3
Bloom,8.000000,40.650417,0.001000,4
Bloom,8.000000,61.398416,0.001000,5
Bloom,8.000000,49.963167,0.001000,6
Bloom,8.000000,49.446958,0.001000,7
Bloom,8.000000,42.741042,0.001000,8
Bloom,8.000000,32.969500,0.001000,9
Bloom,8.000000,38.769125,0.001000,10
Bloom,8.000000,34.185958,0.001000,11
Bloom,8.000000,24.510667,0.001000,12
Bloom,8.000000,17.014000,0.001000,13
Bloom,8.000000,22.536750,0.001000,14
Bloom,9.000000,24.014333,0.001000,0
Bloom,9.000000,29.002666,0.001000,1
Bloom,9.000000,19.701250,0.001000,2
Bloom,9.000000,18.844500,0.001000,3
Bloom,9.000000,19.095625,0.001000,4
Bloom,9.000000,18.590709,0.001000,5
Bloom,9.000000,42.171958,0.001000,6
Bloom,9.000000,23.526250,0.001000,7
Bloom,9.000000,44.559833,0.001000,8
Bloom,9.000000,23.954458,0.001000,9
Bloom,9.000000,25.653083,0.001000,10
Bloom,9.000000,56.981208,0.001000,11
Bloom,9.000000,21.041125,0.001000,12
Bloom,9.000000,19.144292,0.001000,13
Bloom,9.000000,18.596834,0.001000,14
Bloom,10.000000,20.769916,0.001000,0
Bloom,10.000000,20.616125,0.001000,1
Bloom,10.000000,21.394542,0.001000,2
Bloom,10.000000,20.593125,0.001000,3
Bloom,10.000000,20.056500,0.001000,4
Bloom,10.000000,21.946208,0.001000,5
Bloom,10.000000,19.957875,0.001000,6
Bloom,10.000000,20.023084,0.001000,7
Bloom,10.000000,20.072917,0.001000,8
Bloom,10.000000,23.005667,0.001000,9
Bloom,10.000000,20.892750,0.001000,10
Bloom,10.000000,30.963208,0.001000,11
Bloom,10.000000,21.266167,0.001000,12
Bloom,10.000000,21.065417,0.001000,13
Bloom,10.000000,21.540084,0.001000,14
Bloom,11.000000,23.046709,0.001000,0
Bloom,11.000000,24.346125,0.001000,1
Bloom,11.000000,22.309375,0.001000,2
Bloom,11.000000,22.349292,0.001000,3
Bloom,11.000000,22.151041,0.001000,4
Bloom,11.000000,21.885334,0.001000,5
Bloom,11.000000,22.497833,0.001000,6
Bloom,11.000000,22.598500,0.001000,7
Bloom,11.000000,21.982500,0.001000,8
Bloom,11.000000,22.050917,0.001000,9
Bloom,11.000000,23.482500,0.001000,10
Bloom,11.000000,23.276625,0.001000,11
Bloom,11.000000,45.595917,0.001000,12
Bloom,11.000000,23.344917,0.001000,13
Bloom,11.000000,81.177500,0.001000,14
Bloom,12.000000,28.535709,0.001000,0
Bloom,12.000000,27.252083,0.001000,1
Bloom,12.000000,55.075458,0.001000,2
Bloom,12.000000,24.708500,0.001000,3
Bloom,12.000000,24.061000,0.001000,4
Bloom,12.000000,24.029750,0.001000,5
Bloom,12.000000,24.944917,0.001000,6
Bloom,12.000000,24.612833,0.001000,7
Bloom,12.000000,23.731250,0.001000,8
Bloom,12.000000,27.827917,0.001000,9
Bloom,12.000000,23.953041,0.001000,10
Bloom,12.000000,23.923416,0.001000,11
Bloom,12.000000,29.508333,0.001000,12
Bloom,12.000000,25.759083,0.001000,13
Bloom,12.000000,25.790625,0.001000,14
Bloom,5.000000,10.571542,0.010000,0
Bloom,5.000000,15.794000,0.010000,1
Bloom,5.000000,10.860750,0.010000,2
Bloom,5.000000,10.714666,0.010000,3
Bloom,5.000000,10.708000,0.010000,4
Bloom,5.000000,10.866042,0.010000,5
Bloom,5.000000,10.411166,0.010000,6
Bloom,5.000000,10.204041,0.010000,7
Bloom,5.000000,10.509791,0.010000,8
Bloom,5.000000,13.416500,0.010000,9
Bloom,5.000000,12.740000,0.010000,10
Bloom,5.000000,10.431375,0.010000,11
Bloom,5.000000,10.477250,0.010000,12
Bloom,5.000000,10.146375,0.010000,13
Bloom,5.000000,10.059417,0.010000,14
Bloom,6.000000,12.278042,0.010000,0
Bloom,6.000000,12.140292,0.010000,1
Bloom,6.000000,12.088208,0.010000,2
Bloom,6.000000,12.427083,0.010000,3
Bloom,6.000000,11.983834,0.010000,4
Bloom,6.000000,12.538334,0.010000,5
Bloom,6.000000,11.987459,0.010000,6
Bloom,6.000000,11.926500,0.010000,7
Bloom,6.000000,11.961000,0.010000,8
Bloom,6.000000,12.268250,0.010000,9
Bloom,6.000000,12.268417,0.010000,10
Bloom,6.000000,12.044292,0.010000,11
Bloom,6.000000,12.041583,0.010000,12
Bloom,6.000000,11.941541,0.010000,13
Bloom,6.000000,12.160792,0.010000,14
Bloom,7.000000,14.205958,0.010000,0
Bloom,7.000000,14.019125,0.010000,1
Bloom,7.000000,14.193709,0.010000,2
Bloom,7.000000,14.079792,0.010000,3
Bloom,7.000000,14.128959,0.010000,4
Bloom,7.000000,14.478208,0.010000,5
Bloom,7.000000,13.993041,0.010000,6
Bloom,7.000000,13.955042,0.010000,7
Bloom,7.000000,13.936083,0.010000,8
Bloom,7.000000,13.820542,0.010000,9
Bloom,7.000000,14.376458,0.010000,10
Bloom,7.000000,14.208875,0.010000,11
Bloom,7.000000,13.841292,0.010000,12
Bloom,7.000000,14.489833,0.010000,13
Bloom,7.000000,14.015417,0.010000,14
Bloom,8.000000,16.160250,0.010000,0
Bloom,8.000000,15.776458,0.010000,1
Bloom,8.000000,15.940791,0.010000,2
Bloom,8.000000,16.230625,0.010000,3
Bloom,8.000000,15.715292,0.010000,4
Bloom,8.000000,16.189083,0.010000,5
Bloom,8.000000,15.925791,0.010000,6
Bloom,8.000000,15.967500,0.010000,7
Bloom,8.000000,16.038958,0.010000,8
Bloom,8.000000,15.936125,0.010000,9
Bloom,8.000000,16.117917,0.010000,10
Bloom,8.000000,15.847625,0.010000,11
Bloom,8.000000,15.744500,0.010000,12
Bloom,8.000000,16.215750,0.010000,13
Bloom,8.000000,16.249125,0.010000,14
Bloom,9.000000,17.772584,0.010000,0
Bloom,9.000000,17.792166,0.010000,1
Bloom,9.000000,17.708375,0.010000,2
Bloom,9.000000,17.964250,0.010000,3
Bloom,9.000000,17.662125,0.010000,4
Bloom,9.000000,17.799084,0.010000,5
Bloom,9.000000,19.011250,0.010000,6
Bloom,9.000000,17.839417,0.010000,7
Bloom,9.000000,17.965500,0.010000,8
Bloom,9.000000,17.757583,0.010000,9
Bloom,9.000000,17.681750,0.010000,10
Bloom,9.000000,17.800375,0.010000,11
Bloom,9.000000,17.836500,0.010000,12
Bloom,9.000000,18.022333,0.010000,13
Bloom,9.000000,17.829833,0.010000,14
Bloom,2.000000,4.332709,0.100000,0
Bloom,2.000000,4.374417,0.100000,1
Bloom,2.000000,4.336125,0.100000,2
Bloom,2.000000,4.455875,0.100000,3
Bloom,2.000000,4.352458,0.100000,4
Bloom,2.000000,4.327916,0.100000,5
Bloom,2.000000,4.329416,0.100000,6
Bloom,2.000000,4.567667,0.100000,7
Bloom,2.000000,4.979792,0.100000,8
Bloom,2.000000,4.344500,0.100000,9
Bloom,2.000000,4.352041,0.100000,10
Bloom,2.000000,4.632916,0.100000,11
Bloom,2.000000,4.423958,0.100000,12
Bloom,2.000000,4.329625,0.100000,13
Bloom,2.000000,4.352083,0.100000,14
Bloom,3.000000,6.261000,0.100000,0
Bloom,3.000000,6.197958,0.100000,1
Bloom,3.000000,6.163917,0.100000,2
Bloom,3.000000,6.165834,0.100000,3
Bloom,3.000000,6.442542,0.100000,4
Bloom,3.000000,6.543084,0.100000,5
Bloom,3.000000,6.194958,0.100000,6
Bloom,3.000000,6.191791,0.100000,7
Bloom,3.000000,6.519625,0.100000,8
Bloom,3.000000,6.188208,0.100000,9
Bloom,3.000000,6.338958,0.100000,10
Bloom,3.000000,6.451333,0.100000,11
Bloom,3.000000,6.210708,0.100000,12
Bloom,3.000000,6.170333,0.100000,13
Bloom,3.000000,6.154000,0.100000,14
Bloom,4.000000,8.022458,0.100000,0
Bloom,4.000000,8.065959,0.100000,1
Bloom,4.000000,8.043750,0.100000,2
Bloom,4.000000,8.335875,0.100000,3
Bloom,4.000000,8.781542,0.100000,4
Bloom,4.000000,8.242083,0.100000,5
Bloom,4.000000,8.130334,0.100000,6
Bloom,4.000000,8.026375,0.100000,7
Bloom,4.000000,7.980125,0.100000,8
Bloom,4.000000,8.011666,0.100000,9
Bloom,4.000000,8.121917,0.100000,10
Bloom,4.000000,8.050708,0.100000,11
Bloom,4.000000,8.014250,0.100000,12
Bloom,4.000000,7.994334,0.100000,13
Bloom,4.000000,8.359916,0.100000,14
Bloom,5.000000,10.151833,0.100000,0
Bloom,5.000000,10.095333,0.100000,1
Bloom,5.000000,9.920625,0.100000,2
Bloom,5.000000,10.026792,0.100000,3
Bloom,5.000000,9.855791,0.100000,4
Bloom,5.000000,10.631458,0.100000,5
Bloom,5.000000,9.884042,0.100000,6
Bloom,5.000000,9.881084,0.100000,7
Bloom,5.000000,9.962666,0.100000,8
Bloom,5.000000,9.920584,0.100000,9
Bloom,5.000000,10.002292,0.100000,10
Bloom,5.000000,9.949292,0.100000,11
Bloom,5.000000,9.932250,0.100000,12
Bloom,5.000000,9.874375,0.100000,13
Bloom,5.000000,9.918166,0.100000,14
Bloom,6.000000,12.004375,0.100000,0
Bloom,6.000000,11.820750,0.100000,1
Bloom,6.000000,11.821750,0.100000,2
Bloom,6.000000,11.788667,0.100000,3
Bloom,6.000000,11.846666,0.100000,4
Bloom,6.000000,12.137334,0.100000,5
Bloom,6.000000,11.982834,0.100000,6
Bloom,6.000000,11.892875,0.100000,7
Bloom,6.000000,12.057375,0.100000,8
Bloom,6.000000,11.915000,0.100000,9
Bloom,6.000000,12.374584,0.100000,10
Bloom,6.000000,11.934750,0.100000,11
Bloom,6.000000,12.313417,0.100000,12
Bloom,6.000000,11.910166,0.100000,13
Bloom,6.000000,12.235917,0.100000,14
