FilterType,m,constTime,targetFpr,iteration
Bloom,8.000000,18.547709,0.001000,0
Bloom,8.000000,18.332834,0.001000,1
Bloom,8.000000,17.988750,0.001000,2
Bloom,8.000000,18.409791,0.001000,3
Bloom,8.000000,18.118917,0.001000,4
Bloom,8.000000,18.206416,0.001000,5
Bloom,8.000000,18.006542,0.001000,6
Bloom,8.000000,19.411167,0.001000,7
Bloom,8.000000,18.013792,0.001000,8
Bloom,8.000000,18.152166,0.001000,9
Bloom,8.000000,17.977208,0.001000,10
Bloom,8.000000,18.247125,0.001000,11
Bloom,8.000000,18.094167,0.001000,12
Bloom,8.000000,18.030917,0.001000,13
Bloom,8.000000,18.514042,0.001000,14
Bloom,9.000000,19.977792,0.001000,0
Bloom,9.000000,20.155709,0.001000,1
Bloom,9.000000,20.063208,0.001000,2
Bloom,9.000000,19.976709,0.001000,3
Bloom,9.000000,19.943333,0.001000,4
Bloom,9.000000,20.013333,0.001000,5
Bloom,9.000000,19.879125,0.001000,6
Bloom,9.000000,19.998459,0.001000,7
Bloom,9.000000,19.957375,0.001000,8
Bloom,9.000000,19.993750,0.001000,9
Bloom,9.000000,20.241208,0.001000,10
Bloom,9.000000,19.954042,0.001000,11
Bloom,9.000000,20.249792,0.001000,12
Bloom,9.000000,20.006417,0.001000,13
Bloom,9.000000,20.178709,0.001000,14
Bloom,10.000000,21.834542,0.001000,0
Bloom,10.000000,21.891417,0.001000,1
Bloom,10.000000,22.413500,0.001000,2
Bloom,10.000000,21.664250,0.001000,3
Bloom,10.000000,22.211084,0.001000,4
Bloom,10.000000,21.799667,0.001000,5
Bloom,10.000000,21.962833,0.001000,6
Bloom,10.000000,21.650833,0.001000,7
Bloom,10.000000,21.993916,0.001000,8
Bloom,10.000000,22.334292,0.001000,9
Bloom,10.000000,21.794542,0.001000,10
Bloom,10.000000,21.890292,0.001000,11
Bloom,10.000000,21.934250,0.001000,12
Bloom,10.000000,22.088541,0.001000,13
Bloom,10.000000,21.696666,0.001000,14
Bloom,11.000000,23.421708,0.001000,0
Bloom,11.000000,23.263333,0.001000,1
Bloom,11.000000,23.525209,0.001000,2
Bloom,11.000000,23.694291,0.001000,3
Bloom,11.000000,23.265292,0.001000,4
Bloom,11.000000,23.768125,0.001000,5
Bloom,11.000000,23.478250,0.001000,6
Bloom,11.000000,23.274000,0.001000,7
Bloom,11.000000,23.282083,0.001000,8
Bloom,11.000000,23.277709,0.001000,9
Bloom,11.000000,23.710375,0.001000,10
Bloom,11.000000,23.304084,0.001000,11
Bloom,11.000000,24.051667,0.001000,12
Bloom,11.000000,23.327042,0.001000,13
Bloom,11.000000,23.653083,0.001000,14
Bloom,12.000000,24.226083,0.001000,0
Bloom,12.000000,24.394208,0.001000,1
Bloom,12.000000,24.294916,0.001000,2
Bloom,12.000000,24.214541,0.001000,3
Bloom,12.000000,24.895417,0.001000,4
Bloom,12.000000,24.348250,0.001000,5
Bloom,12.000000,24.359542,0.001000,6
Bloom,12.000000,24.333084,0.001000,7
Bloom,12.000000,24.105834,0.001000,8
Bloom,12.000000,24.378166,0.001000,9
Bloom,12.000000,24.319000,0.001000,10
Bloom,12.000000,24.603750,0.001000,11
Bloom,12.000000,24.397084,0.001000,12
Bloom,12.000000,24.304917,0.001000,13
Bloom,12.000000,24.376959,0.001000,14
Bloom,5.000000,14.673333,0.010000,0
Bloom,5.000000,14.760625,0.010000,1
Bloom,5.000000,14.567875,0.010000,2
Bloom,5.000000,14.664958,0.010000,3
Bloom,5.000000,15.654750,0.010000,4
Bloom,5.000000,15.058583,0.010000,5
Bloom,5.000000,14.648208,0.010000,6
Bloom,5.000000,14.819542,0.010000,7
Bloom,5.000000,14.727708,0.010000,8
Bloom,5.000000,14.919084,0.010000,9
Bloom,5.000000,14.709750,0.010000,10
Bloom,5.000000,14.946875,0.010000,11
Bloom,5.000000,14.774708,0.010000,12
Bloom,5.000000,14.937042,0.010000,13
Bloom,5.000000,14.657541,0.010000,14
Bloom,6.000000,17.305292,0.010000,0
Bloom,6.000000,17.227500,0.010000,1
Bloom,6.000000,16.964041,0.010000,2
Bloom,6.000000,17.200709,0.010000,3
Bloom,6.000000,17.090584,0.010000,4
Bloom,6.000000,17.062833,0.010000,5
Bloom,6.000000,17.140500,0.010000,6
Bloom,6.000000,17.147291,0.010000,7
Bloom,6.000000,17.261541,0.010000,8
Bloom,6.000000,17.142209,0.010000,9
Bloom,6.000000,17.055583,0.010000,10
Bloom,6.000000,17.182334,0.010000,11
Bloom,6.000000,17.057417,0.010000,12
Bloom,6.000000,17.427084,0.010000,13
Bloom,6.000000,17.158958,0.010000,14
Bloom,7.000000,19.431292,0.010000,0
Bloom,7.000000,18.991208,0.010000,1
Bloom,7.000000,19.320042,0.010000,2
Bloom,7.000000,19.195083,0.010000,3
Bloom,7.000000,19.340667,0.010000,4
Bloom,7.000000,19.363375,0.010000,5
Bloom,7.000000,19.262458,0.010000,6
