FilterType,n,fpr,targetFpr,iteration
Bloom,10000.000000,0.001100,0.001000,0
Bloom,10000.000000,0.001100,0.001000,1
Bloom,10000.000000,0.001300,0.001000,2
Bloom,10000.000000,0.000900,0.001000,3
Bloom,10000.000000,0.000300,0.001000,4
Bloom,10000.000000,0.001300,0.001000,5
Bloom,10000.000000,0.001100,0.001000,6
Bloom,10000.000000,0.001100,0.001000,7
Bloom,10000.000000,0.001100,0.001000,8
Bloom,10000.000000,0.001100,0.001000,9
Bloom,10000.000000,0.010800,0.010000,0
Bloom,10000.000000,0.009300,0.010000,1
Bloom,10000.000000,0.010400,0.010000,2
Bloom,10000.000000,0.009000,0.010000,3
Bloom,10000.000000,0.009000,0.010000,4
Bloom,10000.000000,0.009900,0.010000,5
Bloom,10000.000000,0.009800,0.010000,6
Bloom,10000.000000,0.009500,0.010000,7
Bloom,10000.000000,0.010300,0.010000,8
Bloom,10000.000000,0.008700,0.010000,9
Bloom,10000.000000,0.099100,0.100000,0
Bloom,10000.000000,0.099200,0.100000,1
Bloom,10000.000000,0.099600,0.100000,2
Bloom,10000.000000,0.100300,0.100000,3
Bloom,10000.000000,0.099700,0.100000,4
Bloom,10000.000000,0.100900,0.100000,5
Bloom,10000.000000,0.097200,0.100000,6
Bloom,10000.000000,0.098400,0.100000,7
Bloom,10000.000000,0.101100,0.100000,8
Bloom,10000.000000,0.098500,0.100000,9
Bloom,100000.000000,0.000760,0.001000,0
Bloom,100000.000000,0.001050,0.001000,1
Bloom,100000.000000,0.001060,0.001000,2
Bloom,100000.000000,0.000770,0.001000,3
Bloom,100000.000000,0.001030,0.001000,4
Bloom,100000.000000,0.001010,0.001000,5
Bloom,100000.000000,0.000920,0.001000,6
Bloom,100000.000000,0.001150,0.001000,7
Bloom,100000.000000,0.000900,0.001000,8
Bloom,100000.000000,0.001040,0.001000,9
Bloom,100000.000000,0.009860,0.010000,0
Bloom,100000.000000,0.010220,0.010000,1
Bloom,100000.000000,0.009730,0.010000,2
Bloom,100000.000000,0.010150,0.010000,3
Bloom,100000.000000,0.009630,0.010000,4
Bloom,100000.000000,0.010190,0.010000,5
Bloom,100000.000000,0.010260,0.010000,6
Bloom,100000.000000,0.009970,0.010000,7
Bloom,100000.000000,0.009900,0.010000,8
Bloom,100000.000000,0.010030,0.010000,9
Bloom,100000.000000,0.103400,0.100000,0
Bloom,100000.000000,0.102300,0.100000,1
Bloom,100000.000000,0.102600,0.100000,2
Bloom,100000.000000,0.102290,0.100000,3
Bloom,100000.000000,0.103820,0.100000,4
Bloom,100000.000000,0.102130,0.100000,5
Bloom,100000.000000,0.102310,0.100000,6
Bloom,100000.000000,0.103180,0.100000,7
Bloom,100000.000000,0.103750,0.100000,8
Bloom,100000.000000,0.103710,0.100000,9
Bloom,1000000.000000,0.001011,0.001000,0
Bloom,1000000.000000,0.001004,0.001000,1
Bloom,1000000.000000,0.000982,0.001000,2
Bloom,1000000.000000,0.001033,0.001000,3
Bloom,1000000.000000,0.000993,0.001000,4
Bloom,1000000.000000,0.000981,0.001000,5
Bloom,1000000.000000,0.001016,0.001000,6
Bloom,1000000.000000,0.001017,0.001000,7
Bloom,1000000.000000,0.000991,0.001000,8
Bloom,1000000.000000,0.000890,0.001000,9
Bloom,1000000.000000,0.010033,0.010000,0
Bloom,1000000.000000,0.010024,0.010000,1
Bloom,1000000.000000,0.009989,0.010000,2
Bloom,1000000.000000,0.010069,0.010000,3
Bloom,1000000.000000,0.010044,0.010000,4
Bloom,1000000.000000,0.010003,0.010000,5
Bloom,1000000.000000,0.010071,0.010000,6
Bloom,1000000.000000,0.010117,0.010000,7
Bloom,1000000.000000,0.010030,0.010000,8
Bloom,1000000.000000,0.009884,0.010000,9
Bloom,1000000.000000,0.102624,0.100000,0
Bloom,1000000.000000,0.102725,0.100000,1
Bloom,1000000.000000,0.102973,0.100000,2
Bloom,1000000.000000,0.103293,0.100000,3
Bloom,1000000.000000,0.102518,0.100000,4
Bloom,1000000.000000,0.102440,0.100000,5
Bloom,1000000.000000,0.102801,0.100000,6
Bloom,1000000.000000,0.101879,0.100000,7
Bloom,1000000.000000,0.102904,0.100000,8
Bloom,1000000.000000,0.102587,0.100000,9
Bloom,10000000.000000,0.000996,0.001000,0
Bloom,10000000.000000,0.000996,0.001000,1
Bloom,10000000.000000,0.001002,0.001000,2
Bloom,10000000.000000,0.001009,0.001000,3
Bloom,10000000.000000,0.001012,0.001000,4
Bloom,10000000.000000,0.001019,0.001000,5
Bloom,10000000.000000,0.001014,0.001000,6
Bloom,10000000.000000,0.000992,0.001000,7
Bloom,10000000.000000,0.000983,0.001000,8
Bloom,10000000.000000,0.001000,0.001000,9
Bloom,10000000.000000,0.010020,0.010000,0
Bloom,10000000.000000,0.009988,0.010000,1
Bloom,10000000.000000,0.010039,0.010000,2
Bloom,10000000.000000,0.010023,0.010000,3
