FilterType,n,fpr,bpi,iteration
Bloom,10000.000000,0.000100,19.174400,-1
Cuckoo,10000.000000,0.000100,18.085106,-1
Xor,10000.000000,0.000100,17.264800,-1
Blocked Bloom,10000.000000,0.000100,24.921152,-1
Lower Bound,10000.000000,0.000100,13.287712,-1
Bloom,10000.000000,0.000500,15.820800,-1
Cuckoo,10000.000000,0.000500,14.893617,-1
Xor,10000.000000,0.000500,13.565200,-1
Blocked Bloom,10000.000000,0.000500,20.566367,-1
Lower Bound,10000.000000,0.000500,10.965784,-1
Bloom,10000.000000,0.001000,14.380800,-1
Cuckoo,10000.000000,0.001000,13.829787,-1
Xor,10000.000000,0.001000,12.332000,-1
Blocked Bloom,10000.000000,0.001000,18.690864,-1
Lower Bound,10000.000000,0.001000,9.965784,-1
Bloom,10000.000000,0.005000,11.033600,-1
Cuckoo,10000.000000,0.005000,11.702128,-1
Xor,10000.000000,0.005000,9.865600,-1
Blocked Bloom,10000.000000,0.005000,14.336079,-1
Lower Bound,10000.000000,0.005000,7.643856,-1
Bloom,10000.000000,0.010000,9.587200,-1
Cuckoo,10000.000000,0.010000,10.638298,-1
Xor,10000.000000,0.010000,8.632400,-1
Blocked Bloom,10000.000000,0.010000,12.460576,-1
Lower Bound,10000.000000,0.010000,6.643856,-1
Bloom,10000.000000,0.050000,6.240000,-1
Cuckoo,10000.000000,0.050000,8.510638,-1
Xor,10000.000000,0.050000,6.166000,-1
Blocked Bloom,10000.000000,0.050000,8.105791,-1
Lower Bound,10000.000000,0.050000,4.321928,-1
Bloom,10000.000000,0.100000,4.793600,-1
Cuckoo,10000.000000,0.100000,7.446809,-1
Xor,10000.000000,0.100000,4.932800,-1
Blocked Bloom,10000.000000,0.100000,6.230288,-1
Lower Bound,10000.000000,0.100000,3.321928,-1
Bloom,10000.000000,0.500000,1.446400,-1
Cuckoo,10000.000000,0.500000,4.255319,-1
Xor,10000.000000,0.500000,1.233200,-1
Blocked Bloom,10000.000000,0.500000,1.875504,-1
Lower Bound,10000.000000,0.500000,1.000000,-1
