FilterType,n,constTime,fpr,iteration
Bloom,1000000.000000,26.339500,0.010000,1
Bloom,1000000.000000,35.966834,0.010000,2
Bloom,1000000.000000,32.208708,0.010000,3
Bloom,1000000.000000,15.090709,0.010000,4
Bloom,1000000.000000,14.077792,0.010000,5
Bloom,1000000.000000,13.805750,0.010000,6
Bloom,1000000.000000,13.740750,0.010000,7
Bloom,1000000.000000,13.844333,0.010000,8
Bloom,1000000.000000,13.854916,0.010000,9
Bloom,1000000.000000,13.947583,0.010000,10
Cuckoo,1000000.000000,137.500292,0.010000,1
Cuckoo,1000000.000000,137.422667,0.010000,2
Cuckoo,1000000.000000,122.010833,0.010000,3
Cuckoo,1000000.000000,120.024000,0.010000,4
Cuckoo,1000000.000000,116.036166,0.010000,5
Cuckoo,1000000.000000,121.055708,0.010000,6
Cuckoo,1000000.000000,123.717834,0.010000,7
Cuckoo,1000000.000000,124.172916,0.010000,8
Cuckoo,1000000.000000,118.468083,0.010000,9
Cuckoo,1000000.000000,116.977000,0.010000,10
Blocked Bloom,1000000.000000,10.699083,0.010000,1
Blocked Bloom,1000000.000000,7.512167,0.010000,2
Blocked Bloom,1000000.000000,7.499666,0.010000,3
Blocked Bloom,1000000.000000,7.314500,0.010000,4
Blocked Bloom,1000000.000000,7.399167,0.010000,5
Blocked Bloom,1000000.000000,7.760291,0.010000,6
Blocked Bloom,1000000.000000,7.320625,0.010000,7
Blocked Bloom,1000000.000000,7.031291,0.010000,8
Blocked Bloom,1000000.000000,7.108250,0.010000,9
Blocked Bloom,1000000.000000,8.182042,0.010000,10
Xor,1000000.000000,602.540750,0.010000,1
Xor,1000000.000000,509.331959,0.010000,2
Xor,1000000.000000,498.297125,0.010000,3
Xor,1000000.000000,497.673750,0.010000,4
Xor,1000000.000000,509.326167,0.010000,5
Xor,1000000.000000,496.434208,0.010000,6
Xor,1000000.000000,498.995500,0.010000,7
Xor,1000000.000000,498.115583,0.010000,8
Xor,1000000.000000,495.492125,0.010000,9
Xor,1000000.000000,496.637875,0.010000,10
Bloom,1000000.000000,39.707000,0.001000,1
Bloom,1000000.000000,26.982375,0.001000,2
Bloom,1000000.000000,27.984708,0.001000,3
Bloom,1000000.000000,23.330625,0.001000,4
Bloom,1000000.000000,20.854792,0.001000,5
Bloom,1000000.000000,19.787167,0.001000,6
Bloom,1000000.000000,43.014708,0.001000,7
Bloom,1000000.000000,21.075375,0.001000,8
Bloom,1000000.000000,25.906958,0.001000,9
Bloom,1000000.000000,20.674042,0.001000,10
Cuckoo,1000000.000000,191.635917,0.001000,1
Cuckoo,1000000.000000,202.178250,0.001000,2
Cuckoo,1000000.000000,147.361666,0.001000,3
Cuckoo,1000000.000000,153.433208,0.001000,4
Cuckoo,1000000.000000,157.650584,0.001000,5
Cuckoo,1000000.000000,202.213667,0.001000,6
Cuckoo,1000000.000000,174.279375,0.001000,7
Cuckoo,1000000.000000,195.661583,0.001000,8
Cuckoo,1000000.000000,163.060417,0.001000,9
Cuckoo,1000000.000000,164.864417,0.001000,10
Blocked Bloom,1000000.000000,21.489958,0.001000,1
Blocked Bloom,1000000.000000,10.673458,0.001000,2
Blocked Bloom,1000000.000000,14.729708,0.001000,3
