FilterType,b,queryTime,targetFpr,n
Cuckoo,1.000000,21.800000,0.010000,10000
Cuckoo,1.000000,22.016700,0.010000,10000
Cuckoo,1.000000,21.841700,0.010000,10000
Cuckoo,1.000000,22.258300,0.010000,10000
Cuckoo,1.000000,21.550000,0.010000,10000
Cuckoo,1.000000,21.833300,0.010000,10000
Cuckoo,1.000000,21.650000,0.010000,10000
Cuckoo,1.000000,21.829200,0.010000,10000
Cuckoo,1.000000,21.637500,0.010000,10000
Cuckoo,1.000000,22.016700,0.010000,10000
Cuckoo,1.000000,21.625000,0.010000,10000
Cuckoo,1.000000,21.579200,0.010000,10000
Cuckoo,1.000000,21.541600,0.010000,10000
Cuckoo,1.000000,21.575000,0.010000,10000
Cuckoo,1.000000,21.670800,0.010000,10000
Cuckoo,1.000000,24.059160,0.010000,50000
Cuckoo,1.000000,22.295000,0.010000,50000
Cuckoo,1.000000,23.387500,0.010000,50000
Cuckoo,1.000000,61.538320,0.010000,50000
Cuckoo,1.000000,66.924180,0.010000,50000
Cuckoo,1.000000,24.008320,0.010000,50000
Cuckoo,1.000000,22.285840,0.010000,50000
Cuckoo,1.000000,53.221660,0.010000,50000
Cuckoo,1.000000,23.195000,0.010000,50000
Cuckoo,1.000000,38.214160,0.010000,50000
Cuckoo,1.000000,24.017500,0.010000,50000
Cuckoo,1.000000,67.243340,0.010000,50000
Cuckoo,1.000000,24.186660,0.010000,50000
Cuckoo,1.000000,68.665840,0.010000,50000
Cuckoo,1.000000,23.463320,0.010000,50000
Cuckoo,1.000000,27.857500,0.010000,100000
Cuckoo,1.000000,28.199590,0.010000,100000
Cuckoo,1.000000,29.132920,0.010000,100000
Cuckoo,1.000000,25.769160,0.010000,100000
Cuckoo,1.000000,26.773750,0.010000,100000
Cuckoo,1.000000,54.958750,0.010000,100000
Cuckoo,1.000000,128.854160,0.010000,100000
Cuckoo,1.000000,249.424590,0.010000,100000
Cuckoo,1.000000,52.132500,0.010000,100000
Cuckoo,1.000000,236.475420,0.010000,100000
Cuckoo,1.000000,265.093750,0.010000,100000
Cuckoo,1.000000,57.232080,0.010000,100000
Cuckoo,1.000000,24.123750,0.010000,100000
Cuckoo,1.000000,32.215830,0.010000,100000
Cuckoo,1.000000,87.529580,0.010000,100000
Cuckoo,1.000000,93.279250,0.010000,500000
Cuckoo,1.000000,54.850166,0.010000,500000
Cuckoo,1.000000,76.364584,0.010000,500000
Cuckoo,1.000000,303.397332,0.010000,500000
Cuckoo,1.000000,298.779668,0.010000,500000
Cuckoo,1.000000,125.780250,0.010000,500000
Cuckoo,1.000000,320.284666,0.010000,500000
Cuckoo,1.000000,262.103250,0.010000,500000
Cuckoo,1.000000,136.076582,0.010000,500000
Cuckoo,1.000000,153.884416,0.010000,500000
Cuckoo,1.000000,117.194250,0.010000,500000
Cuckoo,1.000000,157.033332,0.010000,500000
Cuckoo,1.000000,55.791500,0.010000,500000
Cuckoo,1.000000,48.387416,0.010000,500000
Cuckoo,1.000000,35.652500,0.010000,500000
Cuckoo,1.000000,195.358583,0.010000,1000000
Cuckoo,1.000000,122.925416,0.010000,1000000
Cuckoo,1.000000,115.319250,0.010000,1000000
Cuckoo,1.000000,84.676458,0.010000,1000000
Cuckoo,1.000000,147.056167,0.010000,1000000
Cuckoo,1.000000,179.940583,0.010000,1000000
Cuckoo,1.000000,212.671500,0.010000,1000000
Cuckoo,1.000000,114.594041,0.010000,1000000
Cuckoo,1.000000,111.318583,0.010000,1000000
Cuckoo,1.000000,120.565875,0.010000,1000000
Cuckoo,1.000000,130.783375,0.010000,1000000
Cuckoo,1.000000,110.292375,0.010000,1000000
Cuckoo,1.000000,129.357209,0.010000,1000000
Cuckoo,1.000000,149.589167,0.010000,1000000
Cuckoo,1.000000,99.224291,0.010000,1000000
Cuckoo,1.000000,136.448250,0.010000,5000000
Cuckoo,1.000000,91.139983,0.010000,5000000
Cuckoo,1.000000,97.860767,0.010000,5000000
Cuckoo,1.000000,94.740833,0.010000,5000000
Cuckoo,1.000000,110.962567,0.010000,5000000
Cuckoo,1.000000,99.836058,0.010000,5000000
Cuckoo,1.000000,113.132600,0.010000,5000000
Cuckoo,1.000000,108.258125,0.010000,5000000
Cuckoo,1.000000,103.821392,0.010000,5000000
Cuckoo,1.000000,119.079000,0.010000,5000000
Cuckoo,1.000000,111.593083,0.010000,5000000
Cuckoo,1.000000,106.033325,0.010000,5000000
Cuckoo,1.000000,114.332125,0.010000,5000000
Cuckoo,1.000000,108.201558,0.010000,5000000
Cuckoo,1.000000,104.933833,0.010000,5000000
Cuckoo,1.000000,115.797667,0.010000,10000000
Cuckoo,1.000000,94.932075,0.010000,10000000
Cuckoo,1.000000,98.241617,0.010000,10000000
Cuckoo,1.000000,94.859254,0.010000,10000000
Cuckoo,1.000000,96.424896,0.010000,10000000
Cuckoo,1.000000,96.243446,0.010000,10000000
Cuckoo,1.000000,96.548146,0.010000,10000000
Cuckoo,1.000000,89.335112,0.010000,10000000
Cuckoo,1.000000,86.491242,0.010000,10000000
Cuckoo,1.000000,84.893838,0.010000,10000000
Cuckoo,1.000000,85.067546,0.010000,10000000
Cuckoo,1.000000,96.903671,0.010000,10000000
Cuckoo,1.000000,96.211071,0.010000,10000000
Cuckoo,1.000000,81.818133,0.010000,10000000
Cuckoo,1.000000,84.401583,0.010000,10000000
Cuckoo,2.000000,34.866600,0.010000,10000
Cuckoo,2.000000,34.695800,0.010000,10000
Cuckoo,2.000000,34.733300,0.010000,10000
Cuckoo,2.000000,37.125000,0.010000,10000
Cuckoo,2.000000,34.787500,0.010000,10000
Cuckoo,2.000000,34.687500,0.010000,10000
Cuckoo,2.000000,35.683300,0.010000,10000
Cuckoo,2.000000,34.741700,0.010000,10000
Cuckoo,2.000000,35.000000,0.010000,10000
Cuckoo,2.000000,35.641700,0.010000,10000
Cuckoo,2.000000,35.620800,0.010000,10000
Cuckoo,2.000000,35.229100,0.010000,10000
Cuckoo,2.000000,35.200000,0.010000,10000
Cuckoo,2.000000,34.658400,0.010000,10000
Cuckoo,2.000000,35.120800,0.010000,10000
Cuckoo,2.000000,36.915000,0.010000,50000
Cuckoo,2.000000,36.190000,0.010000,50000
Cuckoo,2.000000,36.532500,0.010000,50000
Cuckoo,2.000000,35.826680,0.010000,50000
Cuckoo,2.000000,35.650840,0.010000,50000
Cuckoo,2.000000,36.282500,0.010000,50000
Cuckoo,2.000000,35.896660,0.010000,50000
Cuckoo,2.000000,36.216660,0.010000,50000
Cuckoo,2.000000,37.383340,0.010000,50000
Cuckoo,2.000000,39.010000,0.010000,50000
Cuckoo,2.000000,36.190840,0.010000,50000
