FilterType,f,fpr,targetFpr,n
Cuckoo,11.000000,0.003750,0.001000,1000000
Cuckoo,11.000000,0.003784,0.001000,1000000
Cuckoo,11.000000,0.003711,0.001000,1000000
Cuckoo,11.000000,0.003872,0.001000,1000000
Cuckoo,11.000000,0.003686,0.001000,1000000
Cuckoo,11.000000,0.003804,0.001000,1000000
Cuckoo,11.000000,0.003861,0.001000,1000000
Cuckoo,11.000000,0.003774,0.001000,1000000
Cuckoo,11.000000,0.003757,0.001000,1000000
Cuckoo,11.000000,0.003756,0.001000,1000000
Cuckoo,8.000000,0.029726,0.010000,1000000
Cuckoo,8.000000,0.029830,0.010000,1000000
Cuckoo,8.000000,0.029713,0.010000,1000000
Cuckoo,8.000000,0.029791,0.010000,1000000
Cuckoo,8.000000,0.029431,0.010000,1000000
Cuckoo,8.000000,0.029822,0.010000,1000000
Cuckoo,8.000000,0.029870,0.010000,1000000
Cuckoo,8.000000,0.029543,0.010000,1000000
Cuckoo,8.000000,0.029715,0.010000,1000000
Cuckoo,8.000000,0.029934,0.010000,1000000
Cuckoo,5.000000,0.215515,0.100000,1000000
Cuckoo,5.000000,0.215179,0.100000,1000000
Cuckoo,5.000000,0.215148,0.100000,1000000
Cuckoo,5.000000,0.214810,0.100000,1000000
Cuckoo,5.000000,0.214779,0.100000,1000000
Cuckoo,5.000000,0.213643,0.100000,1000000
Cuckoo,5.000000,0.215183,0.100000,1000000
Cuckoo,5.000000,0.215108,0.100000,1000000
Cuckoo,5.000000,0.214974,0.100000,1000000
Cuckoo,5.000000,0.215345,0.100000,1000000
Cuckoo,12.000000,0.001894,0.001000,1000000
Cuckoo,12.000000,0.001917,0.001000,1000000
Cuckoo,12.000000,0.001905,0.001000,1000000
Cuckoo,12.000000,0.001913,0.001000,1000000
Cuckoo,12.000000,0.001874,0.001000,1000000
Cuckoo,12.000000,0.001853,0.001000,1000000
Cuckoo,12.000000,0.001934,0.001000,1000000
Cuckoo,12.000000,0.001786,0.001000,1000000
Cuckoo,12.000000,0.001919,0.001000,1000000
Cuckoo,12.000000,0.001866,0.001000,1000000
Cuckoo,9.000000,0.014848,0.010000,1000000
Cuckoo,9.000000,0.014939,0.010000,1000000
Cuckoo,9.000000,0.014916,0.010000,1000000
Cuckoo,9.000000,0.014917,0.010000,1000000
Cuckoo,9.000000,0.014796,0.010000,1000000
Cuckoo,9.000000,0.015012,0.010000,1000000
Cuckoo,9.000000,0.015125,0.010000,1000000
Cuckoo,9.000000,0.014744,0.010000,1000000
Cuckoo,9.000000,0.015073,0.010000,1000000
Cuckoo,9.000000,0.014782,0.010000,1000000
Cuckoo,6.000000,0.114246,0.100000,1000000
Cuckoo,6.000000,0.114042,0.100000,1000000
Cuckoo,6.000000,0.114601,0.100000,1000000
Cuckoo,6.000000,0.114085,0.100000,1000000
Cuckoo,6.000000,0.114197,0.100000,1000000
Cuckoo,6.000000,0.113817,0.100000,1000000
Cuckoo,6.000000,0.113856,0.100000,1000000
Cuckoo,6.000000,0.113941,0.100000,1000000
Cuckoo,6.000000,0.113458,0.100000,1000000
Cuckoo,6.000000,0.114338,0.100000,1000000
Cuckoo,13.000000,0.000965,0.001000,1000000
Cuckoo,13.000000,0.000980,0.001000,1000000
Cuckoo,13.000000,0.000883,0.001000,1000000
Cuckoo,13.000000,0.000976,0.001000,1000000
Cuckoo,13.000000,0.000943,0.001000,1000000
Cuckoo,13.000000,0.000972,0.001000,1000000
Cuckoo,13.000000,0.000945,0.001000,1000000
Cuckoo,13.000000,0.000946,0.001000,1000000
Cuckoo,13.000000,0.000962,0.001000,1000000
Cuckoo,13.000000,0.000936,0.001000,1000000
Cuckoo,10.000000,0.007667,0.010000,1000000
Cuckoo,10.000000,0.007578,0.010000,1000000
Cuckoo,10.000000,0.007679,0.010000,1000000
Cuckoo,10.000000,0.007519,0.010000,1000000
Cuckoo,10.000000,0.007579,0.010000,1000000
Cuckoo,10.000000,0.007586,0.010000,1000000
Cuckoo,10.000000,0.007518,0.010000,1000000
Cuckoo,10.000000,0.007474,0.010000,1000000
Cuckoo,10.000000,0.007570,0.010000,1000000
Cuckoo,10.000000,0.007568,0.010000,1000000
Cuckoo,7.000000,0.058852,0.100000,1000000
Cuckoo,7.000000,0.058810,0.100000,1000000
Cuckoo,7.000000,0.058733,0.100000,1000000
Cuckoo,7.000000,0.058774,0.100000,1000000
Cuckoo,7.000000,0.058661,0.100000,1000000
Cuckoo,7.000000,0.058910,0.100000,1000000
Cuckoo,7.000000,0.059104,0.100000,1000000
Cuckoo,7.000000,0.058544,0.100000,1000000
Cuckoo,7.000000,0.058766,0.100000,1000000
Cuckoo,7.000000,0.059017,0.100000,1000000
Cuckoo,14.000000,0.000454,0.001000,1000000
Cuckoo,14.000000,0.000442,0.001000,1000000
Cuckoo,14.000000,0.000504,0.001000,1000000
