FilterType,lf,queryTime,n,iteration
Bloom,0.000000,9.362500,1000000.000000,1
Bloom,0.000000,9.233400,1000000.000000,2
Bloom,0.000000,9.216700,1000000.000000,3
Bloom,0.000000,9.179200,1000000.000000,4
Bloom,0.000000,9.341700,1000000.000000,5
Bloom,0.000000,9.150000,1000000.000000,6
Bloom,0.000000,9.150000,1000000.000000,7
Bloom,0.000000,9.266700,1000000.000000,8
Bloom,0.000000,9.108300,1000000.000000,9
Bloom,0.000000,9.333400,1000000.000000,10
Bloom,0.250000,12.420800,1000000.000000,1
Bloom,0.250000,11.875000,1000000.000000,2
Bloom,0.250000,10.616700,1000000.000000,3
Bloom,0.250000,10.616600,1000000.000000,4
Bloom,0.250000,11.841700,1000000.000000,5
Bloom,0.250000,10.950000,1000000.000000,6
Bloom,0.250000,10.541700,1000000.000000,7
Bloom,0.250000,11.933300,1000000.000000,8
Bloom,0.250000,13.312500,1000000.000000,9
Bloom,0.250000,10.545800,1000000.000000,10
Bloom,0.500000,13.945800,1000000.000000,1
Bloom,0.500000,13.350000,1000000.000000,2
Bloom,0.500000,14.787500,1000000.000000,3
Bloom,0.500000,14.112500,1000000.000000,4
Bloom,0.500000,21.320800,1000000.000000,5
Bloom,0.500000,14.520900,1000000.000000,6
Bloom,0.500000,14.195800,1000000.000000,7
Bloom,0.500000,13.525000,1000000.000000,8
Bloom,0.500000,16.033300,1000000.000000,9
Bloom,0.500000,13.666700,1000000.000000,10
Bloom,0.750000,17.445800,1000000.000000,1
Bloom,0.750000,16.654200,1000000.000000,2
Bloom,0.750000,18.854200,1000000.000000,3
Bloom,0.750000,16.895800,1000000.000000,4
Bloom,0.750000,17.075000,1000000.000000,5
Bloom,0.750000,17.237500,1000000.000000,6
Bloom,0.750000,17.054100,1000000.000000,7
Bloom,0.750000,16.845800,1000000.000000,8
Bloom,0.750000,17.058400,1000000.000000,9
Bloom,0.750000,17.562500,1000000.000000,10
Bloom,1.000000,19.337500,1000000.000000,1
Bloom,1.000000,19.495900,1000000.000000,2
Bloom,1.000000,19.308300,1000000.000000,3
Bloom,1.000000,18.750000,1000000.000000,4
Bloom,1.000000,19.100000,1000000.000000,5
