FilterType,lf,queryTime,n,iteration
Blocked Bloom,0.000000,9.391600,1000000.000000,1
Blocked Bloom,0.000000,6.725000,1000000.000000,2
Blocked Bloom,0.000000,7.862500,1000000.000000,3
Blocked Bloom,0.000000,6.395800,1000000.000000,4
Blocked Bloom,0.000000,6.004100,1000000.000000,5
Blocked Bloom,0.000000,5.829200,1000000.000000,6
Blocked Bloom,0.000000,5.637500,1000000.000000,7
Blocked Bloom,0.000000,5.558400,1000000.000000,8
Blocked Bloom,0.000000,5.345800,1000000.000000,9
Blocked Bloom,0.000000,5.141600,1000000.000000,10
Blocked Bloom,0.250000,12.191700,1000000.000000,1
Blocked Bloom,0.250000,8.850000,1000000.000000,2
Blocked Bloom,0.250000,7.958300,1000000.000000,3
Blocked Bloom,0.250000,7.858300,1000000.000000,4
Blocked Bloom,0.250000,7.912500,1000000.000000,5
Blocked Bloom,0.250000,8.250000,1000000.000000,6
Blocked Bloom,0.250000,12.129200,1000000.000000,7
Blocked Bloom,0.250000,7.979200,1000000.000000,8
Blocked Bloom,0.250000,8.045900,1000000.000000,9
Blocked Bloom,0.250000,8.366600,1000000.000000,10
Blocked Bloom,0.500000,8.412500,1000000.000000,1
Blocked Bloom,0.500000,8.754200,1000000.000000,2
Blocked Bloom,0.500000,8.650000,1000000.000000,3
Blocked Bloom,0.500000,8.633400,1000000.000000,4
Blocked Bloom,0.500000,8.441700,1000000.000000,5
Blocked Bloom,0.500000,8.608300,1000000.000000,6
Blocked Bloom,0.500000,8.366700,1000000.000000,7
Blocked Bloom,0.500000,8.045800,1000000.000000,8
Blocked Bloom,0.500000,8.370900,1000000.000000,9
Blocked Bloom,0.500000,8.162500,1000000.000000,10
Blocked Bloom,0.750000,8.562500,1000000.000000,1
Blocked Bloom,0.750000,7.787500,1000000.000000,2
Blocked Bloom,0.750000,7.700000,1000000.000000,3
Blocked Bloom,0.750000,7.837500,1000000.000000,4
Blocked Bloom,0.750000,15.383300,1000000.000000,5
Blocked Bloom,0.750000,11.791600,1000000.000000,6
Blocked Bloom,0.750000,11.979200,1000000.000000,7
Blocked Bloom,0.750000,10.704100,1000000.000000,8
Blocked Bloom,0.750000,12.462500,1000000.000000,9
Blocked Bloom,0.750000,13.541600,1000000.000000,10
Blocked Bloom,1.000000,14.958300,1000000.000000,1
Blocked Bloom,1.000000,16.316700,1000000.000000,2
Blocked Bloom,1.000000,31.504200,1000000.000000,3
Blocked Bloom,1.000000,15.066700,1000000.000000,4
Blocked Bloom,1.000000,12.408300,1000000.000000,5
Blocked Bloom,1.000000,10.545800,1000000.000000,6
Blocked Bloom,1.000000,10.387500,1000000.000000,7
Blocked Bloom,1.000000,14.658400,1000000.000000,8
Blocked Bloom,1.000000,12.841600,1000000.000000,9
Blocked Bloom,1.000000,12.225000,1000000.000000,10
Bloom,0.000000,16.820800,1000000.000000,1
Bloom,0.000000,19.862500,1000000.000000,2
Bloom,0.000000,17.825000,1000000.000000,3
Bloom,0.000000,15.754200,1000000.000000,4
