FilterType,fpr,constTime,targetFpr,iteration
Local,0.010000,520.726167,0.000000,0
Local,0.010000,508.652292,0.000000,1
Local,0.010000,524.145000,0.000000,2
Local,0.010000,519.225166,0.000000,3
Local,0.010000,515.338125,0.000000,4
Local,0.010000,521.376500,0.000000,5
Local,0.010000,537.661250,0.000000,6
Local,0.010000,512.324458,0.000000,7
Local,0.010000,513.998208,0.000000,8
Local,0.010000,511.165125,0.000000,9
Local,0.010000,514.958916,0.000000,10
Local,0.010000,512.526459,0.000000,11
Local,0.010000,549.060916,0.000000,12
Local,0.010000,512.768333,0.000000,13
Local,0.010000,509.783458,0.000000,14
Global,0.010000,532.588250,0.000000,0
Global,0.010000,528.524084,0.000000,1
Global,0.010000,518.600875,0.000000,2
Global,0.010000,508.135000,0.000000,3
Global,0.010000,507.354416,0.000000,4
Global,0.010000,506.696333,0.000000,5
Global,0.010000,509.657542,0.000000,6
Global,0.010000,521.463625,0.000000,7
Global,0.010000,515.054000,0.000000,8
Global,0.010000,510.966583,0.000000,9
Global,0.010000,528.596875,0.000000,10
Global,0.010000,518.256375,0.000000,11
Global,0.010000,520.126459,0.000000,12
Global,0.010000,512.540667,0.000000,13
Global,0.010000,520.519041,0.000000,14
