FilterType,n,fpr,targetFpr,iteration
Local,1000000.000000,0.007758,0.010000,0
Global,1000000.000000,0.007802,0.010000,0
Local,1000000.000000,0.007763,0.010000,1
Global,1000000.000000,0.007731,0.010000,1
Local,1000000.000000,0.007668,0.010000,2
Global,1000000.000000,0.007764,0.010000,2
Local,1000000.000000,0.007846,0.010000,3
Global,1000000.000000,0.007925,0.010000,3
Local,1000000.000000,0.007895,0.010000,4
Global,1000000.000000,0.007946,0.010000,4
Local,1000000.000000,0.007761,0.010000,5
Global,1000000.000000,0.007672,0.010000,5
Local,1000000.000000,0.007806,0.010000,6
Global,1000000.000000,0.008045,0.010000,6
Local,1000000.000000,0.007800,0.010000,7
Global,1000000.000000,0.007845,0.010000,7
Local,1000000.000000,0.007787,0.010000,8
Global,1000000.000000,0.007868,0.010000,8
Local,1000000.000000,0.007777,0.010000,9
Global,1000000.000000,0.007755,0.010000,9
Local,1000000.000000,0.007737,0.010000,10
Global,1000000.000000,0.007891,0.010000,10
Local,1000000.000000,0.007887,0.010000,11
Global,1000000.000000,0.007760,0.010000,11
Local,1000000.000000,0.007825,0.010000,12
Global,1000000.000000,0.007999,0.010000,12
Local,1000000.000000,0.007825,0.010000,13
Global,1000000.000000,0.007652,0.010000,13
Local,1000000.000000,0.007852,0.010000,14
Global,1000000.000000,0.007777,0.010000,14
