FilterType,fpr,constTime,targetFpr,iteration
Local,0.010000,8.654709,0.000000,0
Local,0.010000,13.604833,0.000000,1
Local,0.010000,12.767042,0.000000,2
Local,0.010000,7.927875,0.000000,3
Local,0.010000,7.438833,0.000000,4
Local,0.010000,7.130042,0.000000,5
Local,0.010000,7.854209,0.000000,6
Local,0.010000,7.287542,0.000000,7
Local,0.010000,7.167791,0.000000,8
Local,0.010000,6.865250,0.000000,9
Local,0.010000,6.829834,0.000000,10
Local,0.010000,7.024667,0.000000,11
Local,0.010000,7.109084,0.000000,12
Local,0.010000,7.166834,0.000000,13
Local,0.010000,6.738209,0.000000,14
Global,0.010000,12.867958,0.000000,0
Global,0.010000,14.035708,0.000000,1
Global,0.010000,8.001334,0.000000,2
Global,0.010000,7.404083,0.000000,3
Global,0.010000,6.663333,0.000000,4
Global,0.010000,6.522334,0.000000,5
Global,0.010000,6.722000,0.000000,6
Global,0.010000,6.901792,0.000000,7
Global,0.010000,6.498917,0.000000,8
Global,0.010000,6.492375,0.000000,9
Global,0.010000,6.599167,0.000000,10
Global,0.010000,6.615625,0.000000,11
Global,0.010000,6.489125,0.000000,12
Global,0.010000,6.550416,0.000000,13
Global,0.010000,6.671500,0.000000,14


