FilterType,actual,target,n,iteration
Bloom,0.010039,0.010000,2000000.000000,0
Cuckoo,0.007709,0.010000,2000000.000000,0
Blocked Bloom,0.009773,0.010000,2000000.000000,0
Xor,0.007744,0.010000,2000000.000000,0
Bloom,0.010165,0.010000,2000000.000000,1
Cuckoo,0.007657,0.010000,2000000.000000,1
Blocked Bloom,0.009694,0.010000,2000000.000000,1
Xor,0.007815,0.010000,2000000.000000,1
Bloom,0.009953,0.010000,2000000.000000,2
Cuckoo,0.007409,0.010000,2000000.000000,2
Blocked Bloom,0.009840,0.010000,2000000.000000,2
Xor,0.007773,0.010000,2000000.000000,2
Bloom,0.010106,0.010000,2000000.000000,3
Cuckoo,0.007454,0.010000,2000000.000000,3
Blocked Bloom,0.009822,0.010000,2000000.000000,3
Xor,0.007815,0.010000,2000000.000000,3
Bloom,0.009926,0.010000,2000000.000000,4
Cuckoo,0.007644,0.010000,2000000.000000,4
Blocked Bloom,0.009823,0.010000,2000000.000000,4
Xor,0.007718,0.010000,2000000.000000,4
Bloom,0.009863,0.010000,2000000.000000,5
Cuckoo,0.007610,0.010000,2000000.000000,5
Blocked Bloom,0.009763,0.010000,2000000.000000,5
Xor,0.007718,0.010000,2000000.000000,5
Bloom,0.009864,0.010000,2000000.000000,6
Cuckoo,0.007596,0.010000,2000000.000000,6
Blocked Bloom,0.010061,0.010000,2000000.000000,6
Xor,0.007868,0.010000,2000000.000000,6
Bloom,0.010017,0.010000,2000000.000000,7
Cuckoo,0.007592,0.010000,2000000.000000,7
Blocked Bloom,0.009766,0.010000,2000000.000000,7
Xor,0.007781,0.010000,2000000.000000,7
Bloom,0.010083,0.010000,2000000.000000,8
Cuckoo,0.007447,0.010000,2000000.000000,8
Blocked Bloom,0.009769,0.010000,2000000.000000,8
Xor,0.007785,0.010000,2000000.000000,8
Bloom,0.009994,0.010000,2000000.000000,9
Cuckoo,0.007579,0.010000,2000000.000000,9
Blocked Bloom,0.009958,0.010000,2000000.000000,9
Xor,0.007931,0.010000,2000000.000000,9
Bloom,0.010022,0.010000,2000000.000000,10
Cuckoo,0.007533,0.010000,2000000.000000,10
Blocked Bloom,0.009827,0.010000,2000000.000000,10
Xor,0.007966,0.010000,2000000.000000,10
Bloom,0.010082,0.010000,2000000.000000,11
Cuckoo,0.007710,0.010000,2000000.000000,11
Blocked Bloom,0.009999,0.010000,2000000.000000,11
Xor,0.007650,0.010000,2000000.000000,11
Bloom,0.010005,0.010000,2000000.000000,12
Cuckoo,0.007424,0.010000,2000000.000000,12
Blocked Bloom,0.009841,0.010000,2000000.000000,12
Xor,0.007772,0.010000,2000000.000000,12
Bloom,0.010259,0.010000,2000000.000000,13
Cuckoo,0.007581,0.010000,2000000.000000,13
Blocked Bloom,0.009723,0.010000,2000000.000000,13
Xor,0.007784,0.010000,2000000.000000,13
Bloom,0.010108,0.010000,2000000.000000,14
Cuckoo,0.007457,0.010000,2000000.000000,14
Blocked Bloom,0.009893,0.010000,2000000.000000,14
Xor,0.007864,0.010000,2000000.000000,14
