FilterType,fpr,constTime,targetFpr,iteration
Local,0.010000,492.009750,0.000000,0
Global,0.010000,488.063750,0.000000,0
Local,0.010000,505.186000,0.000000,1
Global,0.010000,495.861667,0.000000,1
Local,0.010000,486.778791,0.000000,2
Global,0.010000,501.842959,0.000000,2
Local,0.010000,483.060625,0.000000,3
Global,0.010000,484.321583,0.000000,3
Local,0.010000,486.250292,0.000000,4
Global,0.010000,495.030250,0.000000,4
Local,0.010000,486.017375,0.000000,5
Global,0.010000,484.652625,0.000000,5
Local,0.010000,483.996792,0.000000,6
Global,0.010000,480.507167,0.000000,6
Local,0.010000,480.828625,0.000000,7
Global,0.010000,479.490000,0.000000,7
Local,0.010000,532.929625,0.000000,8
Global,0.010000,529.522458,0.000000,8
Local,0.010000,553.337542,0.000000,9
Global,0.010000,562.291292,0.000000,9
Local,0.010000,555.426250,0.000000,10
Global,0.010000,540.700708,0.000000,10
Local,0.010000,490.096041,0.000000,11
Global,0.010000,486.439542,0.000000,11
Local,0.010000,486.020875,0.000000,12
Global,0.010000,491.457792,0.000000,12
Local,0.010000,488.790750,0.000000,13
Global,0.010000,499.724708,0.000000,13
Local,0.010000,487.227792,0.000000,14
Global,0.010000,488.242167,0.000000,14
