FilterType,n,fpr,targetFpr,iteration
Local,1000000.000000,0.007686,0.010000,0
Global,1000000.000000,0.007624,0.010000,0
Local,1000000.000000,0.007745,0.010000,1
Global,1000000.000000,0.007633,0.010000,1
Local,1000000.000000,0.007848,0.010000,2
Global,1000000.000000,0.007876,0.010000,2
Local,1000000.000000,0.007812,0.010000,3
Global,1000000.000000,0.007797,0.010000,3
Local,1000000.000000,0.007742,0.010000,4
Global,1000000.000000,0.007851,0.010000,4
Local,1000000.000000,0.007675,0.010000,5
Global,1000000.000000,0.007694,0.010000,5
Local,1000000.000000,0.007765,0.010000,6
Global,1000000.000000,0.007717,0.010000,6
Local,1000000.000000,0.007813,0.010000,7
Global,1000000.000000,0.007772,0.010000,7
Local,1000000.000000,0.007695,0.010000,8
Global,1000000.000000,0.007701,0.010000,8
Local,1000000.000000,0.007999,0.010000,9
Global,1000000.000000,0.007894,0.010000,9
Local,1000000.000000,0.007731,0.010000,10
Global,1000000.000000,0.007854,0.010000,10
Local,1000000.000000,0.007767,0.010000,11
Global,1000000.000000,0.007915,0.010000,11
Local,1000000.000000,0.007772,0.010000,12
Global,1000000.000000,0.007845,0.010000,12
Local,1000000.000000,0.007760,0.010000,13
Global,1000000.000000,0.007847,0.010000,13
Local,1000000.000000,0.007914,0.010000,14
Global,1000000.000000,0.007881,0.010000,14
