FilterType,fpr,constTime,targetFpr,iteration
Global,0.010000,12.867958,0.000000,0
Global,0.010000,14.035708,0.000000,1
Global,0.010000,8.001334,0.000000,2
Global,0.010000,7.404083,0.000000,3
Global,0.010000,6.663333,0.000000,4
Global,0.010000,6.522334,0.000000,5
Global,0.010000,6.722000,0.000000,6
Global,0.010000,6.901792,0.000000,7
Global,0.010000,6.498917,0.000000,8
Global,0.010000,6.492375,0.000000,9
Global,0.010000,6.599167,0.000000,10
Global,0.010000,6.615625,0.000000,11
Global,0.010000,6.489125,0.000000,12
Global,0.010000,6.550416,0.000000,13
Global,0.010000,6.671500,0.000000,14
